uPb,pbPb
1.565794062,0.249947601
1.558208528,0.251885025
1.560464482,0.251305483
1.547080408,0.254786041
1.560848494,0.251207116
1.561361071,0.251075945
1.562446532,0.250798652
1.563141982,0.250621337
1.562880981,0.250687851
1.566995336,0.249643704
1.554238832,0.25291178
1.556934649,0.252213541
1.557296801,0.252120054
1.569707254,0.248960547
1.552215642,0.253438519
1.551313099,0.253674252
1.54201764,0.256129565
1.551816284,0.253542769
1.539931045,0.256687684
1.561764121,0.250972905
1.671194261,0.226010045
1.682676921,0.223700544
1.68402244,0.223433345
1.689515989,0.222349743
1.691632428,0.221935392
1.693659673,0.221540115
1.670777452,0.226094874
1.689828671,0.222288418
1.682487807,0.223738156
1.680243592,0.224185574
1.680398447,0.224154637
1.685731092,0.223095055
1.671422489,0.225963627
1.683325701,0.223571617
1.693898905,0.221493573
1.691187366,0.222022382
1.70294823,0.219748929
1.684641276,0.223310692
1.681613126,0.2239123
1.680701566,0.224094108
