age_Ma,S_raw,S_pen,D_raw,D_pen,n_runs
1.000000,0.045250,0.045250,0.954750,0.954750,200
11.045226,0.045708,0.045708,0.954292,0.954292,200
21.090452,0.045917,0.045917,0.954083,0.954083,200
31.135678,0.046375,0.046375,0.953625,0.953625,200
41.180905,0.046625,0.046625,0.953375,0.953375,200
51.226131,0.047125,0.047125,0.952875,0.952875,200
61.271357,0.047458,0.047458,0.952542,0.952542,200
71.316583,0.047958,0.047958,0.952042,0.952042,200
81.361809,0.048208,0.048208,0.951792,0.951792,200
91.407035,0.048417,0.048417,0.951583,0.951583,200
101.452261,0.048708,0.048708,0.951292,0.951292,200
111.497487,0.049125,0.049125,0.950875,0.950875,200
121.542714,0.049500,0.049500,0.950500,0.950500,200
131.587940,0.049917,0.049917,0.950083,0.950083,200
141.633166,0.050417,0.050417,0.949583,0.949583,200
151.678392,0.050750,0.050750,0.949250,0.949250,200
161.723618,0.051000,0.051000,0.949000,0.949000,200
171.768844,0.051375,0.051375,0.948625,0.948625,200
181.814070,0.051833,0.051833,0.948167,0.948167,200
191.859296,0.051958,0.051958,0.948042,0.948042,200
201.904523,0.052250,0.052250,0.947750,0.947750,200
211.949749,0.052458,0.052458,0.947542,0.947542,200
221.994975,0.052958,0.052958,0.947042,0.947042,200
232.040201,0.053375,0.053375,0.946625,0.946625,200
242.085427,0.053708,0.053708,0.946292,0.946292,200
252.130653,0.054500,0.054500,0.945500,0.945500,200
262.175879,0.054875,0.054875,0.945125,0.945125,200
272.221106,0.055125,0.055125,0.944875,0.944875,200
282.266332,0.055542,0.055542,0.944458,0.944458,200
292.311558,0.055875,0.055875,0.944125,0.944125,200
302.356784,0.056792,0.056792,0.943208,0.943208,200
312.402010,0.057458,0.057458,0.942542,0.942542,200
322.447236,0.058125,0.058125,0.941875,0.941875,200
332.492462,0.058792,0.058792,0.941208,0.941208,200
342.537688,0.059458,0.059458,0.940542,0.940542,200
352.582915,0.060250,0.060250,0.939750,0.939750,200
362.628141,0.061083,0.061083,0.938917,0.938917,200
372.673367,0.061875,0.061875,0.938125,0.938125,200
382.718593,0.063042,0.063042,0.936958,0.936958,200
392.763819,0.064125,0.064125,0.935875,0.935875,200
402.809045,0.064833,0.064833,0.935167,0.935167,200
412.854271,0.066083,0.066083,0.933917,0.933917,200
422.899497,0.067458,0.067458,0.932542,0.932542,200
432.944724,0.068583,0.068583,0.931417,0.931417,200
442.989950,0.069833,0.069833,0.930167,0.930167,200
453.035176,0.070583,0.070583,0.929417,0.929417,200
463.080402,0.071250,0.071250,0.928750,0.928750,200
473.125628,0.072625,0.072625,0.927375,0.927375,200
483.170854,0.073500,0.073500,0.926500,0.926500,200
493.216080,0.074458,0.074458,0.925542,0.925542,200
503.261307,0.075458,0.075458,0.924542,0.924542,200
513.306533,0.076292,0.076292,0.923708,0.923708,200
523.351759,0.077417,0.077417,0.922583,0.922583,200
533.396985,0.078458,0.078458,0.921542,0.921542,200
543.442211,0.082750,0.082750,0.917250,0.917250,200
553.487437,0.087542,0.087542,0.912458,0.912458,200
563.532663,0.089792,0.089792,0.910208,0.910208,200
573.577889,0.091000,0.091000,0.909000,0.909000,200
583.623116,0.091833,0.091833,0.908167,0.908167,200
593.668342,0.092875,0.092875,0.907125,0.907125,200
603.713568,0.093542,0.093542,0.906458,0.906458,200
613.758794,0.094375,0.094375,0.905625,0.905625,200
623.804020,0.095042,0.095042,0.904958,0.904958,200
633.849246,0.095667,0.095667,0.904333,0.904333,200
643.894472,0.097417,0.097417,0.902583,0.902583,200
653.939698,0.102833,0.102833,0.897167,0.897167,200
663.984925,0.112667,0.112667,0.887333,0.887333,200
674.030151,0.124921,0.124917,0.875079,0.875083,200
684.075377,0.127997,0.127750,0.872003,0.872250,200
694.120603,0.121491,0.120160,0.878509,0.879840,200
704.165829,0.118776,0.116869,0.881224,0.883131,200
714.211055,0.121648,0.119621,0.878352,0.880379,200
724.256281,0.127142,0.125023,0.872858,0.874977,200
734.301508,0.136769,0.134490,0.863231,0.865510,200
744.346734,0.141818,0.139454,0.858182,0.860546,200
754.391960,0.145074,0.142656,0.854926,0.857344,200
764.437186,0.148121,0.145652,0.851879,0.854348,200
774.482412,0.152093,0.149558,0.847907,0.850442,200
784.527638,0.155019,0.152435,0.844981,0.847565,200
794.572864,0.157015,0.154398,0.842985,0.845602,200
804.618090,0.158881,0.156233,0.841119,0.843767,200
814.663317,0.164087,0.161352,0.835913,0.838648,200
824.708543,0.169642,0.166815,0.830358,0.833185,200
834.753769,0.172294,0.169423,0.827706,0.830577,200
844.798995,0.175470,0.172546,0.824530,0.827454,200
854.844221,0.176602,0.172979,0.823398,0.827021,200
864.889447,0.178409,0.173964,0.821591,0.826036,200
874.934673,0.185792,0.181147,0.814208,0.818853,200
884.979899,0.193569,0.188730,0.806431,0.811270,200
895.025126,0.200752,0.195733,0.799248,0.804267,200
905.070352,0.207702,0.202509,0.792298,0.797491,200
915.115578,0.214543,0.209179,0.785457,0.790821,200
925.160804,0.221230,0.215699,0.778770,0.784301,200
935.206030,0.226822,0.221134,0.773178,0.778866,200
945.251256,0.233932,0.227482,0.766068,0.772518,200
955.296482,0.235830,0.227305,0.764170,0.772695,200
965.341709,0.239028,0.229352,0.760972,0.770648,200
975.386935,0.239328,0.227817,0.760672,0.772183,200
985.432161,0.243865,0.231683,0.756135,0.768317,200
995.477387,0.250399,0.237879,0.749601,0.762121,200
1005.522613,0.254489,0.241754,0.745511,0.758246,200
1015.567839,0.257985,0.244883,0.742015,0.755117,200
1025.613065,0.260045,0.246161,0.739955,0.753839,200
1035.658291,0.259465,0.244414,0.740535,0.755586,200
1045.703518,0.259719,0.243709,0.740281,0.756291,200
1055.748744,0.260271,0.243468,0.739729,0.756532,200
1065.793970,0.261991,0.244679,0.738009,0.755321,200
1075.839196,0.264140,0.246542,0.735860,0.753458,200
1085.884422,0.267116,0.249308,0.732884,0.750692,200
1095.929648,0.270527,0.252492,0.729473,0.747508,200
1105.974874,0.274580,0.256275,0.725420,0.743725,200
1116.020101,0.279757,0.261073,0.720243,0.738927,200
1126.065327,0.286795,0.267315,0.713205,0.732685,200
1136.110553,0.293642,0.272561,0.706358,0.727439,200
1146.155779,0.304121,0.281546,0.695879,0.718454,200
1156.201005,0.319507,0.295544,0.680493,0.704456,200
1166.246231,0.333912,0.308634,0.666088,0.691366,200
1176.291457,0.340690,0.313535,0.659310,0.686465,200
1186.336683,0.343028,0.313232,0.656972,0.686768,200
1196.381910,0.347625,0.315949,0.652375,0.684051,200
1206.427136,0.354938,0.322040,0.645062,0.677960,200
1216.472362,0.359071,0.323880,0.640929,0.676120,200
1226.517588,0.368098,0.331335,0.631902,0.668665,200
1236.562814,0.380796,0.342717,0.619204,0.657283,200
1246.608040,0.392338,0.353104,0.607662,0.646896,200
1256.653266,0.406037,0.365433,0.593963,0.634567,200
1266.698492,0.421034,0.378912,0.578966,0.621088,200
1276.743719,0.434805,0.390841,0.565195,0.609159,200
1286.788945,0.448809,0.402080,0.551191,0.597920,200
1296.834171,0.465361,0.415531,0.534639,0.584469,200
1306.879397,0.482411,0.430251,0.517589,0.569749,200
1316.924623,0.495401,0.441649,0.504599,0.558351,200
1326.969849,0.506052,0.450851,0.493948,0.549149,200
1337.015075,0.515899,0.458749,0.484101,0.541251,200
1347.060302,0.527230,0.467351,0.472770,0.532649,200
1357.105528,0.537938,0.475158,0.462062,0.524842,200
1367.150754,0.545014,0.478652,0.454986,0.521348,200
1377.195980,0.550079,0.477265,0.449921,0.522735,200
1387.241206,0.559061,0.482057,0.440939,0.517943,200
1397.286432,0.569899,0.489663,0.430101,0.510337,200
1407.331658,0.581086,0.498626,0.418914,0.501374,200
1417.376884,0.592176,0.505683,0.407824,0.494317,200
1427.422111,0.602727,0.509197,0.397273,0.490803,200
1437.467337,0.618309,0.518566,0.381691,0.481434,200
1447.512563,0.633041,0.528354,0.366959,0.471646,200
1457.557789,0.645302,0.537833,0.354698,0.462167,200
1467.603015,0.657150,0.547625,0.342850,0.452375,200
1477.648241,0.660350,0.550292,0.339650,0.449708,200
1487.693467,0.645889,0.538186,0.354111,0.461814,200
1497.738693,0.628075,0.522792,0.371925,0.477208,200
1507.783920,0.612208,0.506198,0.387792,0.493802,200
1517.829146,0.599698,0.491560,0.400302,0.508440,200
1527.874372,0.589667,0.477486,0.410333,0.522514,200
1537.919598,0.581917,0.463883,0.418083,0.536117,200
1547.964824,0.573157,0.447235,0.426843,0.552765,200
1558.010050,0.550365,0.422546,0.449635,0.577454,200
1568.055276,0.510924,0.388669,0.489076,0.611331,200
1578.100503,0.480839,0.360754,0.519161,0.639246,200
1588.145729,0.465519,0.343956,0.534481,0.656044,200
1598.190955,0.454975,0.331051,0.545025,0.668949,200
1608.236181,0.441173,0.316547,0.558827,0.683453,200
