Sample,Pb7_U35,Pb7_U35.2SE.abs,Pb6_U38,Pb6_U38.2SE.abs,rho,age76
2A,21.8000148,0.636166315,0.636402454,0.018571446,0.85,3174.860319
2A,22.46719293,0.247563343,0.643853502,0.007094546,0.85,3204.146215
2A,22.32681225,0.617857146,0.642300693,0.017774596,0.85,3198.053957
2A,22.56960155,0.474978673,0.644981356,0.013573673,0.85,3208.567611
2A,22.62835071,0.597139889,0.645626515,0.017037448,0.85,3211.095388
2A,23.28800775,0.248659005,0.652779329,0.006970088,0.85,3239.054394
2A,22.21393795,0.644424683,0.641046423,0.018596709,0.85,3193.128773
2A,22.65608607,0.352165359,0.645930624,0.010040322,0.85,3212.286563
2A,22.23277921,0.640460299,0.641256145,0.018472684,0.85,3193.95256
2A,22.08756832,0.456070878,0.63963608,0.013207402,0.85,3187.586236
2A,22.40251585,0.431293262,0.643139056,0.012381714,0.85,3201.343892
2A,22.16374674,0.274585965,0.640487042,0.007934974,0.85,3190.931021
2A,21.71911373,0.318285857,0.635486506,0.009312828,0.85,3171.251038
2A,21.92254448,0.283165747,0.637784515,0.008238037,0.85,3180.302484
2A,21.96467052,0.460649246,0.638258233,0.013385731,0.85,3182.166798
2A,22.10582205,0.293214579,0.639840201,0.008486926,0.85,3188.388712
2A,22.83266279,0.396417619,0.647859713,0.011248053,0.85,3219.837565
2A,22.37713191,0.632022104,0.642858202,0.018156956,0.85,3200.241941
2A,22.22246113,0.628199491,0.641141312,0.018124214,0.85,3193.50151
2A,22.57412668,0.60005983,0.645031098,0.017146056,0.85,3208.762536
2A,22.38416119,0.501470867,0.642936002,0.014403652,0.85,3200.547211
2A,22.44477358,0.534408062,0.643606038,0.015324202,0.85,3203.175707
2A,22.27506501,0.64958214,0.641726308,0.018713927,0.85,3195.798971
2A,22.0692759,0.565620463,0.63943139,0.01638819,0.85,3186.781423
2A,22.35919671,0.229135802,0.642659608,0.00658594,0.85,3199.462629
2A,22.33212455,0.449853904,0.642359597,0.012939565,0.85,3198.285167
2A,22.6661719,0.380663422,0.646041137,0.010849835,0.85,3212.719381
2A,22.37078546,0.657670616,0.642787943,0.01889709,0.85,3199.966246
2A,22.13052034,0.36279251,0.640116172,0.010493624,0.85,3189.473496
2A,22.10995067,0.461350288,0.639886351,0.013351986,0.85,3188.570127
2A,23.14741283,0.529492654,0.651268673,0.014897647,0.85,3233.159613
2A,21.62668819,0.339634632,0.63443671,0.009963462,0.85,3167.111848
2A,22.80077596,0.239426481,0.647512244,0.006799399,0.85,3218.478127
2A,22.45766104,0.43285782,0.643748313,0.012407859,0.85,3203.733704
2A,22.53942581,0.503832558,0.644649452,0.0144101,0.85,3207.266802
2A,22.69117027,0.565796032,0.64631488,0.016115625,0.85,3213.791355
2A,22.49577,0.496681705,0.644168645,0.014222531,0.85,3205.381941
2A,22.26576318,0.241028237,0.641622946,0.006945607,0.85,3195.393094
2A,22.96833662,0.530566704,0.649333777,0.014999557,0.85,3225.601515
2A,22.65111594,0.233670379,0.64587615,0.0066629,0.85,3212.073208
2A,10.30751477,0.246705201,0.421525972,0.015133519,0.85,2462.778625
2A,7.001981024,0.070565145,0.360898115,0.005455633,0.85,2111.681108
2A,11.84257901,0.300247519,0.449681078,0.017101295,0.85,2592.035473
2A,6.686314016,0.121270458,0.355108365,0.009660963,0.85,2070.814182
2A,6.745450245,0.134134597,0.356193002,0.010624451,0.85,2078.59634
2A,16.07902808,0.469377786,0.527383152,0.023092994,0.85,2881.5061
2A,15.47335944,0.260757783,0.516274389,0.01305042,0.85,2844.843882
2A,14.36189272,0.324622427,0.49588862,0.016812885,0.85,2773.914752
2A,10.78624506,0.150658596,0.430306518,0.009015562,0.85,2504.882143
2A,8.436059655,0.233108106,0.387201012,0.016048908,0.85,2279.066339
2A,8.298735958,0.152723771,0.384682314,0.010619111,0.85,2264.180812
2A,7.434318324,0.158420256,0.368827753,0.011789202,0.85,2165.110319
2A,18.03979193,0.269146847,0.563346152,0.012607366,0.85,2991.857746
2A,11.18492333,0.216377569,0.437618804,0.01269891,0.85,2538.660095
2A,9.603437333,0.192257591,0.408612261,0.01227042,0.85,2397.500356
2A,11.4567551,0.310168884,0.442604558,0.017973959,0.85,2561.063161
2A,16.98904825,0.39802062,0.544074124,0.01911991,0.85,2934.216522
2A,14.96782373,0.445126488,0.507002196,0.022616525,0.85,2813.195594
2A,6.853940736,0.187898506,0.358182861,0.014729196,0.85,2092.72012
2A,8.741674698,0.169309686,0.392806396,0.011411874,0.85,2311.431226
2A,6.69218863,0.100015639,0.355216113,0.007963127,0.85,2071.589938
2A,15.06927609,0.44932738,0.508862966,0.022759494,0.85,2819.626472
2A,16.68392108,0.46478234,0.538477689,0.022501448,0.85,2916.84603
2A,16.40264519,0.44103715,0.533318717,0.021509948,0.85,2900.565789
2A,16.53748707,0.227113313,0.535791896,0.01103724,0.85,2908.403014
2A,11.11038377,0.129054966,0.43625165,0.007601057,0.85,2532.429555
2A,6.787323056,0.139152779,0.356961005,0.010977549,0.85,2084.070836
2A,9.149375087,0.264381289,0.40028416,0.017349979,0.85,2353.06101
2A,11.84245129,0.307788295,0.449678736,0.017530896,0.85,2592.025375
2A,6.738342415,0.136660079,0.356062635,0.01083194,0.85,2077.664118
2A,14.88251226,0.253422649,0.505437471,0.012910048,0.85,2807.756151
2A,15.70005794,0.278021095,0.520432339,0.013823946,0.85,2858.721825
2A,7.221348404,0.155932702,0.364921603,0.011819789,0.85,2139.14224
2A,9.454165276,0.187658169,0.405874415,0.012084459,0.85,2383.104524
2A,16.35586329,0.172813535,0.532460675,0.008438846,0.85,2897.832554
2A,10.29354968,0.162187025,0.421269834,0.009956405,0.85,2461.523824
2A,8.849079742,0.170824843,0.394776346,0.011431292,0.85,2322.564882
2A,15.63459747,0.301059477,0.519231707,0.014997472,0.85,2854.73393
2A,7.312516301,0.127488056,0.366593743,0.009586917,0.85,2150.340018
2A,9.926568983,0.174754385,0.414538923,0.010946757,0.85,2427.981261
2A,12.0474836,0.279710811,0.453439299,0.015791498,0.85,2608.108125
2A,12.04210678,0.145528913,0.453340681,0.008217936,0.85,2607.689604
2A,12.29400643,0.131846416,0.457960854,0.007367065,0.85,2627.114067
2A,9.517383084,0.147437635,0.407033913,0.009458291,0.85,2389.226197
2A,12.50052004,0.262429267,0.461748586,0.014540556,0.85,2642.766113
2A,13.66207864,0.166215068,0.483053105,0.008815354,0.85,2726.572042
2A,8.912544276,0.095269928,0.39594037,0.006348559,0.85,2329.086717
2A,8.52027981,0.095425572,0.388745721,0.006530821,0.85,2288.088785
