Sample,Pb7_U35,Pb7_U35.2SE.abs,Pb6_U38,Pb6_U38.2SE.abs,rho,age76
2B,22.52474477,0.453760367,0.644487845,0.01298319,0.85,3206.633331
2B,22.21966548,0.226698065,0.641110191,0.006540982,0.85,3193.379265
2B,22.56231847,0.430906542,0.644901282,0.01231665,0.85,3208.253806
2B,22.69816984,0.357152934,0.646391485,0.010170891,0.85,3214.091306
2B,23.46260973,0.667459429,0.654645161,0.018623209,0.85,3246.327683
2B,22.53949191,0.316760006,0.64465018,0.009059627,0.85,3207.269653
2B,22.02578783,0.462091367,0.638944214,0.013404769,0.85,3184.86551
2B,22.197453,0.416988949,0.64086281,0.012038891,0.85,3192.407461
2B,22.31150377,0.284822857,0.642130883,0.008197276,0.85,3197.387382
2B,22.75005141,0.670721392,0.646958693,0.019073761,0.85,3216.311819
2B,22.31579286,0.553630432,0.64217847,0.015931746,0.85,3197.574185
2B,22.7668352,0.261719129,0.647141963,0.007439305,0.85,3217.029121
2B,21.82351056,0.520253767,0.636667956,0.015177618,0.85,3175.906148
2B,22.42877853,0.255162082,0.643429363,0.007320005,0.85,3202.482732
2B,22.68790788,0.46438692,0.646279169,0.01322835,0.85,3213.651522
2B,22.57450227,0.622149165,0.645035226,0.017777053,0.85,3208.778713
2B,22.14006099,0.44984127,0.64022271,0.013008031,0.85,3189.892225
2B,22.37812023,0.450236816,0.642869142,0.012934212,0.85,3200.284868
2B,21.7295287,0.503623613,0.635604576,0.014731358,0.85,3171.716406
2B,22.39097612,0.452822993,0.64301141,0.013003915,0.85,3200.843085
2B,22.28649861,0.35636668,0.641853312,0.010263395,0.85,3196.297643
2B,22.00199233,0.492858508,0.638677316,0.014306775,0.85,3183.815642
2B,22.2516611,0.24801833,0.641466176,0.00714982,0.85,3194.777453
2B,22.96153411,0.624906277,0.649260037,0.017669842,0.85,3225.313296
2B,21.87008459,0.506950339,0.637193563,0.014770199,0.85,3177.976044
2B,22.46033671,0.29386695,0.643777844,0.008423072,0.85,3203.849516
2B,22.55850758,0.264547983,0.644859375,0.007562391,0.85,3208.089568
2B,22.39399553,0.63791077,0.643044814,0.018317643,0.85,3200.974146
2B,22.65838105,0.481503341,0.645955774,0.013726923,0.85,3212.385064
2B,22.25269604,0.660730334,0.641477684,0.01904685,0.85,3194.822647
2B,22.15797695,0.47060925,0.640422672,0.013601821,0.85,3190.67807
2B,22.02217618,0.362193787,0.638903719,0.010507906,0.85,3184.706232
2B,22.3522545,0.490068446,0.642582703,0.01408849,0.85,3199.160819
2B,22.4460877,0.308794666,0.643620549,0.008854398,0.85,3203.23262
2B,22.53985546,0.3896517,0.64465418,0.011144286,0.85,3207.285334
2B,22.38192479,0.374526062,0.642911251,0.010758102,0.85,3200.450098
2B,22.47644665,0.564854216,0.643955586,0.016183209,0.85,3204.546528
2B,22.28362965,0.589019053,0.641821448,0.016965147,0.85,3196.172537
2B,21.86706295,0.46325033,0.63715949,0.013498125,0.85,3177.841881
2B,22.36870381,0.239385737,0.642764895,0.006878751,0.85,3199.875802
2B,11.75549183,0.304001906,0.448788424,0.017408783,0.85,2585.126578
2B,9.371768158,0.177524821,0.40792072,0.011590564,0.85,2375.069823
2B,9.832127482,0.277079385,0.422302879,0.017851389,0.85,2419.166863
2B,8.003506314,0.177681763,0.389229522,0.012961629,0.85,2231.420106
2B,12.60908432,0.269105439,0.456908419,0.014627138,0.85,2650.898649
2B,11.65402343,0.281390403,0.435980579,0.015790351,0.85,2577.01703
2B,11.01589917,0.194087001,0.424830133,0.0112275,0.85,2524.476523
2B,10.87828092,0.21416817,0.43426868,0.012824618,0.85,2512.78022
2B,15.45691232,0.322770653,0.517384717,0.016206012,0.85,2843.829609
2B,6.922430077,0.207347267,0.357292128,0.016052935,0.85,2101.536261
2B,13.53379249,0.274551747,0.494095654,0.015035123,0.85,2717.648834
2B,8.734653865,0.229230606,0.388325766,0.015286722,0.85,2310.699175
2B,6.987095637,0.08949773,0.359851821,0.006914015,0.85,2109.79052
2B,14.54961707,0.220186889,0.491120977,0.011148582,0.85,2786.247665
2B,8.036524098,0.19648945,0.38083601,0.013966907,0.85,2235.136922
2B,6.42121851,0.101788461,0.352200644,0.00837457,0.85,2035.176183
2B,7.420238792,0.222262189,0.371319542,0.016683485,0.85,2163.413909
2B,7.022071674,0.088481613,0.359161608,0.006788424,0.85,2114.227245
2B,10.94477088,0.163400144,0.434645806,0.009733578,0.85,2518.448088
2B,9.870665417,0.289068882,0.411273522,0.01806662,0.85,2422.772925
2B,9.588483555,0.203401046,0.407167434,0.012955899,0.85,2396.067374
2B,7.161474443,0.209851557,0.356201677,0.015656582,0.85,2131.720408
2B,10.1033999,0.144811129,0.411623779,0.00884965,0.85,2444.282235
2B,7.668672843,0.10375103,0.370707082,0.007523057,0.85,2192.938726
2B,14.46691021,0.16866572,0.494441146,0.00864683,0.85,2780.832529
2B,17.07911271,0.474804346,0.542297149,0.02261403,0.85,2939.287483
2B,8.837920063,0.155547109,0.395707444,0.010446657,0.85,2321.413731
2B,9.802431762,0.253034796,0.415610257,0.016092515,0.85,2416.37942
2B,6.701379441,0.165907013,0.356635481,0.013243914,0.85,2072.802418
2B,16.96295117,0.287696067,0.538362537,0.013696153,0.85,2932.742416
2B,10.35287356,0.10865918,0.425071135,0.006692038,0.85,2466.843569
2B,12.41407055,0.139243631,0.453829315,0.007635631,0.85,2636.243283
2B,8.303796445,0.204317529,0.377652858,0.013938401,0.85,2264.733245
2B,7.497503373,0.202588087,0.370246534,0.015006503,0.85,2172.688632
2B,11.56584053,0.279805327,0.452041966,0.016403963,0.85,2569.916296
2B,8.425835143,0.112449718,0.3798562,0.007604241,0.85,2277.965516
2B,6.162619824,0.08765633,0.341861146,0.007293885,0.85,1999.163133
2B,15.8429634,0.237698651,0.530078855,0.011929494,0.85,2867.373679
2B,6.786703391,0.12904748,0.357689777,0.010202073,0.85,2083.990035
2B,8.211323292,0.234490415,0.381354025,0.016335466,0.85,2254.590567
2B,16.3794335,0.182930224,0.542575781,0.009089464,0.85,2899.210565
2B,7.692835391,0.221533979,0.373160225,0.01611909,0.85,2195.765008
2B,6.695198054,0.161281736,0.344007733,0.012430289,0.85,2071.98711
2B,15.54734414,0.263995217,0.517383067,0.013177812,0.85,2849.393932
2B,8.607808125,0.182886569,0.391457906,0.012475718,0.85,2297.381443
2B,9.092867838,0.093762143,0.400407499,0.006193271,0.85,2347.392009
2B,16.07890401,0.374992056,0.525122379,0.018370349,0.85,2881.498724
2B,9.354632717,0.199080021,0.404622393,0.012916419,0.85,2373.390897
2B,7.065742852,0.172818743,0.364272116,0.013364423,0.85,2119.739875
2B,10.00583704,0.195296416,0.425064631,0.012444776,0.85,2435.320884
2B,9.307389107,0.220695365,0.407581143,0.014496751,0.85,2368.747552
2B,9.169731684,0.143654087,0.410194461,0.009639231,0.85,2355.095524
2B,12.51348272,0.180166632,0.455064362,0.009827889,0.85,2643.740577
2B,7.184488764,0.075899746,0.369886973,0.005861446,0.85,2134.57963
2B,9.015082168,0.136558225,0.394663791,0.008967404,0.85,2339.536146
2B,9.931448161,0.12312595,0.407159892,0.007571698,0.85,2428.434571
2B,8.422431655,0.250464959,0.38726174,0.017274494,0.85,2277.598815
2B,6.902928861,0.140248109,0.362009351,0.011032518,0.85,2099.033795
2B,10.80934133,0.136953454,0.429089579,0.008154794,0.85,2506.869936
2B,16.10130432,0.281569252,0.528956898,0.013875087,0.85,2882.829605
2B,2.734905209,0.055316518,0.10909324,0.003309799,0.85,1337.993034
2B,3.850718624,0.078454674,0.143228619,0.004377217,0.85,1603.418656
2B,3.25798327,0.055125133,0.128659863,0.003265391,0.85,1471.082538
2B,1.685819946,0.021539768,0.083021413,0.00159115,0.85,1003.184304
2B,1.707692221,0.034054479,0.084027839,0.002513501,0.85,1011.419702
2B,6.789510301,0.077813393,0.218481223,0.003755963,0.85,2084.355989
2B,8.589990908,0.121936752,0.269999938,0.00574906,0.85,2295.496716
2B,12.29207451,0.355085881,0.379064021,0.016425252,0.85,2626.966498
2B,2.426495934,0.029409252,0.103055935,0.001873565,0.85,1250.482962
2B,4.604768058,0.077808221,0.164212487,0.004162125,0.85,1750.132177
2B,12.30603122,0.158743504,0.380046586,0.007353702,0.85,2628.032094
2B,3.434242586,0.043916914,0.133004904,0.00255129,0.85,1512.267675
2B,3.613441681,0.053061633,0.139119845,0.003064361,0.85,1552.494438
2B,4.78792256,0.143280025,0.172077475,0.007724205,0.85,1782.782585
2B,1.413959178,0.01453908,0.078791266,0.001215261,0.85,894.8248079
2B,12.04912684,0.206549891,0.370836599,0.009535495,0.85,2608.235998
2B,1.733953438,0.022626931,0.088834819,0.001738852,0.85,1021.220193
2B,9.428167486,0.102390512,0.291390848,0.004746785,0.85,2380.576288
2B,3.272423256,0.079930257,0.124933787,0.004577337,0.85,1474.520154
2B,7.639074457,0.221058359,0.243226719,0.010557686,0.85,2189.465862
2B,2.705263791,0.046263261,0.11130649,0.002855212,0.85,1329.902477
2B,2.857997384,0.050234595,0.11298877,0.00297898,0.85,1370.917639
2B,1.931421242,0.037877484,0.09181083,0.002700781,0.85,1092.031651
2B,6.612596607,0.154607459,0.220058412,0.007717696,0.85,2061.028912
2B,3.37345323,0.098060905,0.128313816,0.005594817,0.85,1498.251419
2B,4.605058402,0.100034482,0.164659318,0.005365277,0.85,1750.184775
2B,10.95916187,0.149265944,0.338761533,0.006920998,0.85,2519.670679
2B,4.733867098,0.085834302,0.165277083,0.004495197,0.85,1773.255003
2B,2.631081091,0.040739786,0.111793461,0.002596523,0.85,1309.36734
2B,2.315670028,0.051733129,0.101489683,0.003400989,0.85,1217.09877
2B,13.6117323,0.186876914,0.411124292,0.008466553,0.85,2723.079442
2B,7.863300771,0.220989066,0.244363027,0.010301315,0.85,2215.483823
2B,6.111125774,0.072781481,0.202130239,0.003610956,0.85,1991.836897
2B,2.516529399,0.066825969,0.10340217,0.004118738,0.85,1276.818335
2B,2.073558971,0.056615768,0.09682662,0.003965583,0.85,1140.108813
2B,5.674019463,0.100458181,0.192317742,0.005107461,0.85,1927.422751
2B,1.415084133,0.039866253,0.077646617,0.003281232,0.85,895.297887
2B,2.333727126,0.02428796,0.101227325,0.001580265,0.85,1222.61353
2B,3.640032324,0.074909917,0.137154657,0.004233854,0.85,1558.330033
2B,4.309101666,0.043636088,0.15310713,0.002325657,0.85,1695.103461
2B,1.707151054,0.026639413,0.084163298,0.001970002,0.85,1011.216744
2B,1.833425475,0.033153999,0.088210962,0.00239269,0.85,1057.507636
2B,3.165332599,0.050332592,0.130146329,0.003104225,0.85,1448.744609
2B,2.099119296,0.058725671,0.094952291,0.003984626,0.85,1148.518021
2B,2.320711346,0.060655711,0.101856152,0.003993274,0.85,1218.641439
2B,12.00789212,0.293875949,0.359011119,0.013179424,0.85,2605.022348
