Sample,Pb7_U35,Pb7_U35.2SE.abs,Pb6_U38,Pb6_U38.2SE.abs,rho,age76
2C,21.6576756,0.341802858,0.634789076,0.010018283,0.85,3168.50147
2C,22.79115538,0.231261005,0.647407333,0.006569218,0.85,3218.067613
2C,21.8874078,0.488315376,0.637388832,0.014220358,0.85,3178.744866
2C,22.36157202,0.624606521,0.642685917,0.017951592,0.85,3199.565874
2C,22.50991106,0.634686546,0.644324471,0.01816729,0.85,3205.992871
2C,22.12170382,0.661119805,0.640017688,0.019127296,0.85,3189.086395
2C,22.72051082,0.26553229,0.646635861,0.007557167,0.85,3215.048088
2C,22.57138264,0.259535552,0.645000936,0.007416501,0.85,3208.644338
2C,22.81683382,0.597609021,0.647687275,0.016963956,0.85,3219.162953
2C,22.46957555,0.42460117,0.643879789,0.012167213,0.85,3204.249302
2C,21.67744691,0.447873657,0.635013689,0.013119898,0.85,3169.387117
2C,22.0938738,0.429410221,0.639706606,0.012433155,0.85,3187.863511
2C,22.55896174,0.675555515,0.64486437,0.019311247,0.85,3208.109143
2C,22.85628313,0.234146833,0.64811685,0.006639509,0.85,3220.843404
2C,22.37461652,0.471439518,0.642830357,0.013544618,0.85,3200.13268
2C,22.76221982,0.655544007,0.647091576,0.018636012,0.85,3216.83192
2C,22.38336563,0.456779664,0.642927197,0.013120282,0.85,3200.512666
2C,22.56357945,0.342330057,0.644915148,0.009784522,0.85,3208.308145
2C,22.33013822,0.500051005,0.642337573,0.014384217,0.85,3198.198721
2C,22.79291737,0.587081709,0.64742655,0.016675895,0.85,3218.142811
2C,22.97270685,0.412109545,0.649381142,0.011649309,0.85,3225.786636
2C,22.93868527,0.482093937,0.649012224,0.013640052,0.85,3224.344602
2C,23.52865562,0.263010531,0.655348017,0.007325681,0.85,3249.065392
2C,22.13476524,0.465257012,0.640163578,0.013455783,0.85,3189.659821
2C,22.5091155,0.558877391,0.644315707,0.015997674,0.85,3205.958511
2C,22.14193334,0.628991374,0.640243614,0.018187559,0.85,3189.97438
2C,22.77638296,0.655832394,0.647246171,0.018637068,0.85,3217.436945
2C,22.04211069,0.429405099,0.639127162,0.012450916,0.85,3185.585055
2C,22.79987932,0.260060503,0.647502468,0.007385557,0.85,3218.439874
2C,22.44222251,0.23561987,0.643577867,0.006756895,0.85,3203.065215
2C,22.34439368,0.58613668,0.642495599,0.016853903,0.85,3198.818963
2C,22.38231453,0.279604463,0.642915565,0.008031433,0.85,3200.467023
2C,21.98764983,0.322908691,0.638516333,0.009377195,0.85,3183.18232
2C,22.01231294,0.638196556,0.638793103,0.018520342,0.85,3184.271125
2C,22.44838222,0.61830718,0.643645883,0.017728265,0.85,3203.331984
2C,22.44603084,0.598105604,0.643619921,0.017150145,0.85,3203.230157
2C,22.15597264,0.251846006,0.640400309,0.007279403,0.85,3190.590186
2C,22.27931446,0.245942468,0.641773517,0.00708457,0.85,3195.984338
2C,22.53870697,0.537121795,0.644641541,0.015362506,0.85,3207.235794
2C,22.10020824,0.359741292,0.63977744,0.010414126,0.85,3188.141983
2C,11.39413315,0.336994854,0.436605532,0.019369681,0.85,2555.945806
2C,7.943778631,0.148066641,0.382908402,0.010705729,0.85,2224.661792
2C,13.70605518,0.183578062,0.494576639,0.009936494,0.85,2729.612962
2C,8.185576714,0.134260609,0.385293521,0.009479432,0.85,2251.748495
2C,15.06353225,0.197104398,0.514312307,0.010094566,0.85,2819.263467
2C,8.649841942,0.199533723,0.387663709,0.013413884,0.85,2301.814019
2C,13.49913834,0.345119671,0.475570357,0.018237685,0.85,2715.22488
2C,8.121623529,0.17795198,0.369441304,0.01214218,0.85,2244.65432
2C,7.447238771,0.08225952,0.350797624,0.005812177,0.85,2166.664584
2C,8.276625102,0.08313625,0.381660986,0.005750508,0.85,2261.763524
2C,12.7418326,0.278334413,0.431798865,0.014148414,0.85,2660.755095
2C,12.70276997,0.205309018,0.471309369,0.011426334,0.85,2657.864649
2C,14.94155402,0.411763463,0.512180072,0.021172199,0.85,2811.523745
2C,13.14419991,0.24209295,0.481560005,0.013304227,0.85,2690.059034
2C,12.50346957,0.166429058,0.458548639,0.009155357,0.85,2642.987925
2C,9.037885938,0.207491771,0.402425683,0.013858332,0.85,2341.845487
2C,14.17605537,0.290587048,0.497603551,0.015300146,0.85,2761.556461
2C,7.752614077,0.151783533,0.364322631,0.010699264,0.85,2202.723671
2C,10.92517996,0.244303158,0.439214198,0.014732217,0.85,2516.781365
2C,12.61376525,0.316935261,0.445849783,0.016803728,0.85,2651.247837
2C,12.69560093,0.15596876,0.486634134,0.00896764,0.85,2657.333281
2C,13.53477909,0.158295939,0.490464017,0.008604329,0.85,2717.717759
2C,12.69586828,0.310843532,0.457226394,0.016791983,0.85,2657.353102
2C,11.53495429,0.199809785,0.440595949,0.011448079,0.85,2567.41746
2C,13.40209639,0.185121216,0.491192133,0.010177149,0.85,2708.406132
2C,7.59949392,0.196158363,0.364996979,0.014131969,0.85,2184.803122
2C,7.036991095,0.19882834,0.361437783,0.015318495,0.85,2116.113897
2C,8.588373176,0.120704733,0.402206114,0.00847917,0.85,2295.325417
2C,15.02604325,0.269680256,0.517819878,0.013940376,0.85,2816.891001
2C,9.231737904,0.15173823,0.407794973,0.010054134,0.85,2361.267654
2C,7.879847896,0.126652028,0.362820622,0.008747371,0.85,2217.3777
2C,8.845008719,0.185624552,0.396944129,0.01249562,0.85,2322.145096
2C,11.66939767,0.326649933,0.448963301,0.01885108,0.85,2578.24994
2C,14.72393835,0.350356692,0.484526046,0.017293974,0.85,2797.567433
