Sample,Final_U238Pb206,Final_U238Pb206__2SE,Final_Pb207Pb206,Final_Pb207Pb206__2SE
2,125.0965251,4.929741879,0.169350664,0.017023627
2,154.716168,6.648503166,0.087420244,0.008440477
2,161.1259173,3.169958752,0.072990461,0.004640705
2,170.3629059,3.540722237,0.086028165,0.016097931
2,5.31099663,0.141603567,0.089993882,0.002363158
2,5.061908769,0.103704455,0.090856818,0.001687059
2,4.534591151,0.14492337,0.092437438,0.002559552
2,4.441650635,0.111029969,0.091166181,0.001325213
2,3.684720946,0.112738404,0.102705195,0.00142139
2,57.2700586,3.719170654,0.101973623,0.005451298
2,25.39975184,2.142615851,0.097934053,0.002366515
2,20.20259222,3.170048983,0.092068981,0.00318515
2,12.92269873,0.395472113,0.088698022,0.001952823
2,12.54690222,0.758828072,0.088460035,0.001770854
2,14.53170538,2.157839419,0.089862246,0.003774622
2,10.45507353,0.736434448,0.089281749,0.000841606
2,7.049134741,0.447828052,0.102176549,0.001208459
2,6.442355876,0.300407597,0.100833637,0.001988587
2,6.321722505,0.373213536,0.103400363,0.001140401
2,7.385191917,0.243960209,0.089273634,0.002001098
2,6.7811975,0.116424828,0.091999925,0.00097934
2,5.865893813,0.178250319,0.101234014,0.001659845
2,5.784263985,0.334921566,0.102877022,0.001476771
2,5.886603705,0.127010328,0.090341085,0.000935364
2,8.114975146,0.266873897,0.075162596,0.000988648
2,5.963858823,0.077636056,0.087207522,0.001184268
2,4.509890223,0.140804198,0.103838991,0.001480217
2,7.050856821,0.188206203,0.07503415,0.000943003
2,5.288622841,0.172316636,0.08879074,0.001607836
2,5.067368746,0.083428564,0.089470875,0.001083804
2,4.842881342,0.128763098,0.088844874,0.001536285
2,6.469070362,0.133112924,0.075277607,0.001149631
2,4.760025651,0.099902367,0.088985817,0.001197353
2,6.243886703,0.183696956,0.076759762,0.002483466
2,6.482313902,0.538750474,0.075156248,0.003254325
2,3.699352109,0.079212205,0.103239013,0.001871468
2,3.647608997,0.060651043,0.102391461,0.001349054
2,6.08148328,0.326520974,0.077897278,0.003497291
2,5.574234442,0.143408554,0.077392383,0.00242379
2,6.012412267,0.152647027,0.074543468,0.000979578
2,3.511273764,0.060567643,0.103689657,0.001377119
2,3.470234956,0.042433619,0.103552084,0.000902964
2,3.510689171,0.08200646,0.102630514,0.001672036
2,5.679055132,0.072042557,0.075221602,0.001399262
2,5.75457495,0.114635066,0.074323832,0.001008408
2,5.513477381,0.106583561,0.075516172,0.001434617
2,5.455731007,0.096605262,0.073197878,0.001591799
2,152.0547337,6.982126976,0.066719333,0.002814137
2,104.6978117,1.69949589,0.07827272,0.005197703
2,83.96942877,5.411299787,0.085822889,0.003768779
2,131.502198,6.17383561,0.067429494,0.002164827
2,61.13614446,6.92148615,0.136194573,0.020808583
2,90.2946618,17.61473015,0.080671052,0.003558881
2,123.1375981,13.02411319,0.062918759,0.002476727
2,75.15090956,7.934506663,0.076601975,0.002673734
2,29.83958192,2.315722889,0.107741067,0.002868339
2,30.74784487,4.307867134,0.08312431,0.003189475
2,17.96313001,0.746089877,0.096377723,0.002077931
2,16.5820007,1.078286265,0.092244383,0.002558337
2,16.71711083,1.897083598,0.093234808,0.001870904
2,16.28400451,0.954297378,0.089871045,0.001705232
2,14.50347671,0.415404486,0.094384705,0.002736461
2,11.93501254,0.313745904,0.107465552,0.001812076
2,10.85623942,0.693458417,0.106675975,0.002187406
2,10.84195752,1.282099592,0.101998929,0.001219414
2,11.54854684,0.87181397,0.087020806,0.002117111
2,10.82110999,0.608536514,0.090350947,0.002728027
2,10.01654206,0.258486033,0.090517808,0.001135918
2,10.3310877,1.009189511,0.086910752,0.004736187
2,8.365872264,0.743573427,0.103022976,0.001242902
2,9.136866115,0.280919205,0.092480247,0.002181785
2,9.636310255,0.415850483,0.089400253,0.000795072
2,7.596668372,0.394698064,0.106749935,0.003017011
2,11.85061398,0.377571067,0.076381503,0.001125774
2,6.867559739,0.334209886,0.098027088,0.002779862
2,7.371813979,0.144243545,0.090046884,0.001251437
2,6.195818516,0.16066791,0.100881577,0.002175348
2,6.992899811,0.139317636,0.089431441,0.001105655
2,7.262655211,0.4524262,0.087938623,0.002322321
2,6.833458277,0.172475563,0.08984177,0.001435453
2,5.369196519,0.134182043,0.106026985,0.001210956
2,5.262582285,0.159488924,0.103681066,0.001510131
2,6.335815047,0.238725156,0.089141422,0.001046764
2,4.895489555,0.184769126,0.105028212,0.00118648
2,6.042705049,0.237947329,0.089748953,0.002178603
2,4.950653471,0.150914391,0.102351814,0.001894297
2,5.8257439,0.223911071,0.090959165,0.001162821
2,5.436126133,0.305451342,0.091578119,0.002936883
2,4.378135581,0.132488069,0.105453102,0.001406695
2,4.5332581,0.159075468,0.102335762,0.001593158
2,5.80186838,0.201379951,0.085887681,0.001156646
2,4.317475773,0.146673718,0.10475244,0.001017696
2,5.073400274,0.21767078,0.092572575,0.003378756
2,4.094370448,0.106403372,0.106271812,0.001354751
2,4.930755994,0.094744829,0.090093235,0.001998785
2,5.260863515,0.155816964,0.086609324,0.001798778
2,4.931706041,0.181843002,0.090118889,0.001386949
2,4.035681835,0.163130761,0.102492882,0.001864916
2,6.551264018,0.231161869,0.074630265,0.00083179
2,3.902664034,0.103542824,0.102906017,0.001781176
2,3.855215505,0.134670595,0.103146769,0.001287314
2,6.185036944,0.114578734,0.075687211,0.001153156
2,5.018206482,0.237848358,0.085591898,0.002050687
2,4.644622007,0.194453671,0.090303463,0.001886466
2,4.483850344,0.066361263,0.090071634,0.00151856
2,4.646270317,0.059876455,0.086930457,0.001182248
2,6.190645123,0.210969341,0.074669258,0.001417835
2,3.507165322,0.052280705,0.106079454,0.00120447
2,3.681751972,0.176777956,0.102985118,0.002810001
2,3.698625399,0.108840983,0.101629224,0.001956585
2,3.487029936,0.102459715,0.104802909,0.002185974
2,4.503336401,0.065564893,0.086804861,0.001134757
2,4.284099266,0.086806241,0.089578767,0.001282422
2,3.45761501,0.056961702,0.103876917,0.001190667
2,5.819255299,0.117390258,0.07484042,0.001153369
2,4.212299655,0.072611264,0.090200252,0.001876556
2,5.625730649,0.102660448,0.07535368,0.001310928
2,70.2344186,2.878512304,0.199454333,0.017835886
2,150.1061015,7.642067498,0.066961363,0.005118107
2,94.27220168,8.715308011,0.083250487,0.00332199
2,129.3234261,11.94548349,0.07257758,0.005151306
2,153.6910688,4.134697756,0.060598877,0.001952103
2,52.28778949,2.144616675,0.092899893,0.001740342
2,46.83137027,2.292052034,0.088878874,0.002402787
2,41.02629636,3.873870324,0.100871595,0.002817941
2,38.33515739,5.327302431,0.087168668,0.001795314
2,44.27194746,8.582154506,0.092235376,0.003178408
2,27.2004378,1.196574216,0.097107379,0.000877524
2,32.22150569,1.453576576,0.0843973,0.001969111
2,25.78957831,1.327723058,0.100561258,0.001361003
2,32.40933277,3.281262241,0.090666338,0.005610899
2,27.24702834,3.951800752,0.096824027,0.001926493
2,31.61162485,5.922186025,0.087017079,0.002707771
2,22.05659566,0.475185734,0.103284007,0.001770755
2,22.29814846,0.72768638,0.097034462,0.000968153
2,14.95503632,0.847412308,0.105230419,0.00095974
2,15.54830504,0.870774579,0.100300016,0.000877838
2,21.94276167,2.068747409,0.078082954,0.002717207
2,15.12361112,1.63676088,0.10448009,0.001779808
2,20.58530328,1.042934113,0.079513495,0.00206566
2,21.32100036,1.332965205,0.076625692,0.001303828
2,19.6054317,0.624828598,0.076241106,0.001321062
2,12.7712118,0.32973249,0.09979679,0.001140452
2,14.48234738,0.801884498,0.087909056,0.002910865
2,11.74563634,0.609644548,0.099953328,0.001464934
2,11.74804985,0.809995611,0.09975879,0.001225595
2,17.41848561,0.928995127,0.076204008,0.002977453
2,10.19553541,0.517017965,0.104514705,0.001535101
2,9.5895519,0.328252427,0.107827209,0.001536957
2,16.08739489,0.47654145,0.075903599,0.001428441
2,9.455369848,0.551528715,0.099844087,0.000885447
2,8.539017993,0.245141296,0.101648781,0.000869128
2,12.67416288,0.205707432,0.076801727,0.001120404
2,13.09005547,0.816333064,0.07617245,0.001206946
2,10.9285098,0.547997658,0.08602176,0.004236138
2,8.204639852,0.635086055,0.099855324,0.001541359
2,11.65242651,0.63282614,0.07836114,0.00155281
2,9.905393855,0.638588997,0.087011912,0.001226727
2,12.57000705,0.661791106,0.073880128,0.001425565
2,9.403207012,0.530244728,0.085802871,0.001658524
2,12.28402872,1.002013595,0.074129688,0.001296476
2,9.760719323,0.215453181,0.081515233,0.001124027
2,6.899862397,0.266386562,0.105201368,0.003102961
2,10.33553699,0.437404786,0.079617232,0.002820972
2,6.827608684,0.105713877,0.103381056,0.001595028
2,7.872855203,0.283474174,0.090523513,0.001570624
2,7.84272089,0.251847649,0.09128887,0.001238111
2,8.143796746,0.256187803,0.087676836,0.000909772
2,7.702346094,0.536985979,0.093845291,0.004501411
2,6.652023156,0.531571494,0.103041246,0.001514823
2,10.47613393,0.463637952,0.076130039,0.00242247
2,10.40746725,0.247114957,0.074200798,0.001116747
2,6.156682393,0.17353157,0.104637169,0.001414775
2,9.739965177,0.39727396,0.076517954,0.001150576
2,8.033542393,0.534649326,0.086770949,0.001645279
2,9.839246147,0.337747494,0.075013441,0.001373133
2,5.761443489,0.193520401,0.10398406,0.001379323
2,8.708376223,0.399954713,0.078820909,0.002013576
2,5.904920204,0.157208675,0.10185026,0.000855157
2,5.538106538,0.145823038,0.104311395,0.001697669
2,7.053733137,0.173456676,0.087208898,0.001351988
2,5.323604226,0.136227746,0.103883388,0.001329157
2,5.32382389,0.11636617,0.101870209,0.001656489
2,5.057664799,0.180864019,0.104640703,0.00101154
2,4.646190555,0.164906312,0.108508537,0.001026432
2,8.570559954,0.455706596,0.074383795,0.001378728
2,4.858028717,0.173178257,0.102946537,0.001172651
2,6.158136168,0.138443432,0.086341011,0.0010657
2,6.062316462,0.096745614,0.087538671,0.001181255
2,4.689742108,0.094792845,0.10457009,0.0009777
2,4.6642259,0.149170382,0.10240184,0.002465009
2,4.578193602,0.106439211,0.102217523,0.001354374
2,4.274072104,0.183180317,0.108320485,0.001791154
2,7.299461181,0.140868541,0.075739876,0.001072616
2,6.404985616,0.19193143,0.081289628,0.002635003
2,5.279843897,0.106550643,0.089660985,0.001829059
2,4.443009532,0.099537132,0.101396733,0.001477284
2,5.405016874,0.103452892,0.088155725,0.001107137
2,4.200069013,0.103794121,0.104865145,0.001444069
2,5.191045812,0.137293114,0.089834751,0.001224842
2,6.879071071,0.146684796,0.076067674,0.002237007
2,4.144198451,0.096549402,0.103486188,0.001274739
2,3.998850554,0.057447462,0.105304421,0.001352263
2,4.10972013,0.067994401,0.103480916,0.000990812
2,6.312485214,0.211552303,0.078324887,0.00172522
2,5.094586977,0.290982668,0.089153113,0.004076298
2,6.634524891,0.144558645,0.075565248,0.000918874
2,3.943035367,0.087731781,0.103058284,0.002162454
2,3.876724697,0.086711274,0.102542952,0.00142023
2,3.807922563,0.051291555,0.103447442,0.001014637
2,6.383315642,0.129466581,0.074497685,0.000996566
2,4.676164862,0.082603613,0.087811769,0.00139969
2,4.380809884,0.110655691,0.08951522,0.001337507
2,3.47962542,0.046705848,0.104057458,0.001107961
2,5.846799911,0.071209624,0.075423658,0.00093992
2,4.559318166,0.093164668,0.086524328,0.001550362
2,5.720612295,0.17391466,0.075095981,0.001299163
2,5.703051798,0.181619398,0.075942999,0.001805971
2,3.32803604,0.05161469,0.103882408,0.00122864
2,5.681472114,0.16433911,0.07444652,0.001239758
2,3.245578107,0.067378592,0.104604867,0.001686321
2,4.018504904,0.091215113,0.089711634,0.001820336
2,18.69282734,2.558274576,0.09890967,0.00500882
2,5.290205903,0.159589865,0.105706049,0.00121328
2,4.72340428,0.1692125,0.104962204,0.001959328
2,29.12911149,6.067184439,0.085435101,0.001715608
2,5.112334082,0.09821819,0.103712768,0.001043598
2,4.571479523,0.211806965,0.104197774,0.001480762
2,4.147569607,0.069668364,0.105428858,0.000921903
2,3.752900503,0.085610126,0.103274285,0.001333372
2,4.340264426,0.155619117,0.089498289,0.001617943
2,5.520561013,0.103356846,0.074554411,0.001660119
2,25.51553322,1.155341301,0.087194916,0.001955717
2,13.29050427,0.393411924,0.090354545,0.00217926
2,12.14260418,0.237604417,0.090986835,0.001359106
2,14.96693928,0.926097772,0.081120731,0.002172596
2,5.978842892,0.146996477,0.103370909,0.001263104
2,9.21848204,0.203019236,0.075791864,0.000889178
2,5.971664425,0.561283091,0.102218773,0.001482421
2,6.210504006,0.115436852,0.089644835,0.000878249
2,4.132091081,0.096515144,0.100977057,0.001827194
2,4.043486835,0.156880787,0.102163183,0.001784037
2,5.043024326,0.167810898,0.083900614,0.002237423
2,3.676048747,0.161804301,0.102227469,0.003823135
2,26.41784456,1.182975408,0.097761498,0.002193054
2,24.58420427,1.460874616,0.091392377,0.004790749
2,16.56135059,0.614835031,0.088439068,0.001639579
2,17.48035889,1.895259119,0.085092009,0.003964117
2,13.02424237,0.69138927,0.101791308,0.001967423
2,11.12699488,0.410796532,0.08806481,0.002256476
2,13.61785391,0.727565217,0.078683602,0.003530877
2,12.62190781,0.801123374,0.078223663,0.002052969
2,11.78595918,0.5933105,0.077368162,0.002489046
2,9.421648584,0.451294578,0.089047161,0.002485453
2,8.171960898,0.280808945,0.089259196,0.001285431
2,7.752723297,0.237848545,0.090328326,0.000731338
2,6.353136018,0.223996968,0.090307738,0.002480167
2,5.349960964,0.221072399,0.088883678,0.001265296
2,4.423405267,0.088404414,0.091186482,0.00146352
2,14.64253693,0.54670103,0.08907702,0.001247357
2,18.54483346,1.310911266,0.075384712,0.000840447
2,11.18643388,0.491774275,0.099805299,0.001555651
2,7.480908336,0.631598317,0.099771495,0.001567805
2,4.315203724,0.091211779,0.102952418,0.00151272
2,3.953372383,0.136490504,0.100541062,0.001885154
2,7.504033373,0.240261019,0.09503471,0.001940316
2,5.3945834,0.257721976,0.101399259,0.001744267
2,6.337383525,0.304961226,0.087736509,0.001715534
2,4.241286605,0.088256482,0.10304858,0.000932281
2,4.035100415,0.085490457,0.103250557,0.001562841
2,7.084971024,0.119172099,0.072169759,0.00228639
2,5.763474816,0.20125484,0.080514422,0.003272453
2,4.886400527,0.12532212,0.086678028,0.001353151
2,3.936272583,0.132779263,0.101244796,0.001198163
2,3.655111694,0.145825429,0.104719997,0.00138517
2,3.673604366,0.194630375,0.103027984,0.001961767
2,4.185602727,0.113129326,0.090638947,0.001582154
2,3.414037479,0.114419337,0.102830332,0.002269422
2,43.94977527,3.7935051,0.094310097,0.003076444
2,57.4301851,3.046393219,0.076319358,0.004520137
2,14.47509749,1.310780872,0.104246485,0.001854828
2,6.882521357,0.184507015,0.110168683,0.009181532
2,6.753857722,0.30805585,0.105030689,0.000781119
2,5.637988349,0.273189585,0.102816002,0.001939346
2,6.543133129,0.196500837,0.088019522,0.00155241
2,6.729270869,0.14324057,0.0770213,0.001283707
2,3.972406466,0.091736542,0.103865693,0.001491263
2,4.167486553,0.054472822,0.090239281,0.001182969
2,4.887796787,0.175335971,0.090262627,0.001644349
2,3.428565354,0.077357024,0.102285413,0.002273379
2,43.80911177,8.692378259,0.101198505,0.00831418
2,19.02440824,2.538360415,0.097535326,0.001789657
2,16.66768945,0.914768918,0.093167441,0.00310661
2,11.80818497,0.508962384,0.097135645,0.002542009
2,8.167917107,0.713502477,0.103350667,0.002194205
2,7.306828169,0.544779583,0.102085428,0.001912816
2,4.467669843,0.241819612,0.10055786,0.002531573
2,4.647367949,0.129074032,0.090314633,0.001167251
2,3.635673428,0.075822819,0.103723896,0.001350499
2,4.633323205,0.09181201,0.08698101,0.000828585
2,4.330429228,0.124686895,0.089004125,0.001636632
2,5.465901257,0.115428491,0.07645614,0.001573973
2,3.300178442,0.101620917,0.101336136,0.001850194
2,48.1871405,2.019954127,0.093751549,0.002446394
2,24.41979016,2.67051136,0.087215316,0.001719975
2,20.60899171,0.768242045,0.085684607,0.002345535
2,17.30725791,1.053014623,0.087317137,0.001379898
2,10.51006867,0.461356736,0.087483317,0.000985299
2,8.363025078,0.44275888,0.089596297,0.001333578
2,8.374174629,0.422143733,0.088495099,0.001169168
2,6.583100983,0.262631255,0.08651158,0.000867433
2,4.285911548,0.193673751,0.103046794,0.001176381
2,4.828674536,0.135162485,0.089323816,0.00262037
2,4.282612964,0.101924799,0.089446366,0.001224279
2,5.622626184,0.092605157,0.075548898,0.001151529
2,4.231764291,0.068834014,0.089029828,0.001229493
2,4.130013122,0.093167052,0.088788464,0.001528358
2,49.45891719,3.701595855,0.095374714,0.004000282
2,59.68320951,1.894432849,0.08097861,0.002230017
2,47.16340461,3.096079425,0.096241884,0.001939657
2,40.74061047,4.1065532,0.091973913,0.002180956
2,30.20599381,1.391588424,0.099316663,0.002143621
2,33.22495731,2.510733835,0.093947276,0.001823579
2,28.7195841,4.550277734,0.096614111,0.002225588
2,23.77220904,1.821900201,0.100601517,0.001044549
2,20.53102101,0.39067517,0.072890849,0.001230097
2,10.27923229,0.721803073,0.098461691,0.001507443
2,8.308414186,0.430731354,0.089667143,0.001671709
2,6.827176847,0.575145545,0.08881534,0.000905016
2,5.198226201,0.116936834,0.104739757,0.001649931
2,4.741851854,0.106739065,0.10262564,0.001336464
2,5.354288309,0.136114146,0.090166436,0.001019839
2,5.213851725,0.188172466,0.089411212,0.001379409
2,4.80087971,0.098477701,0.088140521,0.00177856
2,4.389283747,0.096472451,0.089278642,0.000898626
2,5.723029029,0.096632137,0.076045817,0.001131445
2,4.462354939,0.059029975,0.089636029,0.001236456
2,2.822078152,1.66141309,0.170173384,0.073869606
2,29.21691208,1.833077572,0.074551008,0.002973551
2,25.20698819,6.652412155,0.08772023,0.001032165
2,10.43064832,1.140599898,0.07884477,0.002629166
2,4.928853225,0.142218273,0.090209476,0.001339446
2,3.580926494,0.061045606,0.102576425,0.000774975
2,132.1577599,3.081823852,0.074679753,0.003081412
2,165.6513363,4.578851653,0.068992101,0.004431064
2,140.0665424,7.033973801,0.068493706,0.002109977
2,34.31500256,5.3931844,0.09184253,0.004647983
2,17.85504582,0.33187526,0.091109931,0.002252242
2,9.99734151,0.616693722,0.094162991,0.002998464
2,7.58452918,0.279385027,0.092047803,0.003393797
2,6.266942577,0.228226296,0.103242073,0.000827506
2,5.321388682,0.236330895,0.089677008,0.001868505
2,3.438504457,0.083496869,0.103465255,0.00166094
2,3.505700511,0.068664744,0.100550066,0.002235943
2,3.405348488,0.056246175,0.103224169,0.001443907
2,5.365527156,0.12297456,0.075560523,0.001796493
2,3.84343984,0.090432963,0.090269782,0.002871291
2,68.73473329,3.133644191,0.091776907,0.003895021
2,49.20668018,0.829308164,0.093559504,0.002879355
2,37.03853847,1.337348684,0.091773162,0.001722966
2,27.17681832,1.527252356,0.09967347,0.001311093
2,21.66731441,3.486023743,0.088708413,0.001243204
2,13.01963294,0.989644138,0.077136983,0.003354015
2,6.47413146,0.295589741,0.085991746,0.001758383
2,8.134801605,0.131043718,0.07431259,0.001271781
2,7.743513232,0.092695667,0.074673996,0.001346761
2,4.456351351,0.087737268,0.103854475,0.002150104
2,4.139472854,0.17391423,0.104159458,0.001614533
2,3.818671397,0.175683737,0.106249494,0.001632897
2,3.829511366,0.091895012,0.103300078,0.001603019
2,5.828960858,0.116918414,0.075875822,0.001651336
2,5.873871106,0.181059627,0.07445711,0.001932032
2,5.454294623,0.097986369,0.07582752,0.001300675
2,175.0606012,6.847679836,0.087119156,0.007787922
2,57.66654476,1.667808554,0.145499531,0.012892754
2,144.9752388,3.548015302,0.066295408,0.002359335
2,115.3366334,3.70891474,0.071375986,0.001670558
2,74.18191843,9.727444881,0.092630853,0.004052418
2,65.12882113,3.195608805,0.089872041,0.001783163
2,45.17568291,7.643913638,0.091255834,0.003534501
2,28.43451193,2.587231356,0.0978593,0.004153461
2,22.53311695,1.580313149,0.100842965,0.001245954
2,16.80606679,0.998680552,0.100234597,0.001270051
2,15.22107123,2.040318033,0.100644805,0.003206974
2,30.28031955,10.69559529,0.085037212,0.003330175
2,10.07481589,0.315954523,0.102832908,0.001004903
2,13.17228291,2.957837178,0.107389322,0.015004438
2,12.7344698,2.025710578,0.101273302,0.001307543
2,12.51170493,1.763446688,0.086128478,0.001666543
2,11.96758636,1.272100541,0.085278133,0.003292739
2,14.18834388,4.776683506,0.088530691,0.001621119
2,8.971461496,0.734909471,0.091567869,0.000961752
2,9.050175125,0.636730472,0.086470754,0.002082032
2,6.561983223,1.229543141,0.105146709,0.00171952
2,5.685484935,0.400674223,0.103671837,0.000965841
2,6.713937684,0.48260467,0.087503482,0.001686798
2,5.803598037,0.836679997,0.104014392,0.000925772
2,5.477946371,0.632229064,0.103707718,0.001392542
2,4.850449152,0.231030289,0.105439549,0.001199767
2,4.684430732,0.079196923,0.105608181,0.000974391
2,4.892533072,0.118733526,0.101731216,0.001322688
2,4.308240862,0.21973545,0.105519958,0.001091251
2,4.27493884,0.147387997,0.104717025,0.001198746
2,5.477503069,0.339654284,0.086831076,0.001468129
2,3.951365473,0.093323304,0.105668557,0.001325129
2,5.051919219,0.197686268,0.086470445,0.001804301
2,5.890313544,0.128594775,0.077656875,0.000930404
