Sample,k,n_assigned,n_soft,weight,sigma_std,inlier_frac_assigned,upper_ma,lower_ma
1A,0,120,120.0,1.0000000000000082,0.02,1.0,3000.0000000000023,699.999999999999
1B,0,120,120.0,1.0000000000000082,0.13447480387392202,0.9416666666666667,3003.36578049728,702.2195098975385
1C,0,120,120.0,1.0000000000000082,0.2307385593767831,0.9583333333333334,3052.122635647703,730.3800244458937
2A,0,60,60.0,0.5000000000000083,0.02,1.0,3200.0000000000014,299.99999999999966
2A,2,60,48.54725777499327,0.4045604814582911,0.02,1.0,3200.0000000000036,1799.9999999999977
2B,2,60,60.00196710353973,0.5000163977586914,0.06686676503614225,0.95,3208.5086580295147,1800.798075468843
2B,3,49,49.8949373647706,0.41577030269948206,0.14576156649639876,0.9795918367346939,3200.2934297187653,298.7664097025693
2C,0,30,30.6403248055649,0.25531902661292766,0.26609508953083477,0.9,2438.8222862803837,169.1974673009565
2C,1,40,38.5632713553047,0.32144642708614063,0.2870567206155752,0.975,3206.8785902433697,291.1767570565777
2C,2,50,50.79640383913039,0.42323454630095675,0.45908778145277085,0.98,2876.7197015253687,174.29079864406103
3A,0,40,40.0,0.3333333333333417,0.02,1.0,2800.000000000002,399.9999999999986
3A,1,40,40.0,0.3333333333333417,0.02,1.0,3200.000000000002,399.99999999999943
3A,2,40,40.0,0.3333333333333417,0.02,1.0,3000.0000000000027,399.99999999999875
3B,0,44,45.04081263210563,0.37542800553778294,0.16683438397666764,0.9772727272727273,2812.498359492771,388.9901310536334
3B,1,76,74.95918736789437,0.624571994462234,0.22671747355046615,0.9868421052631579,3169.379255755195,422.60865537317363
3C,0,120,120.0,1.0000000000000082,0.3752750997889177,0.975,3106.5690235838165,437.0918213536506
4A,0,29,27.85062509011798,0.23206655261832607,0.02,1.0,2995.202294381537,1794.0571070996407
4A,1,31,32.14937490988201,0.2679334473816906,0.02,1.0,3106.385792689794,1809.8552979189903
4A,2,60,60.0,0.5000000000000083,0.02,1.0,3200.000000000002,499.99999999999983
4B,0,60,60.000505176463335,0.5000042103656553,0.1917829027585979,0.9333333333333333,3205.6692103496757,501.4550564193405
4B,1,60,59.999494823536665,0.49999578963436137,0.0984958704219363,0.9833333333333333,3115.584549365015,1841.7288102177702
4C,0,11,9.073285979498426,0.07565384175835099,0.055533299058682296,1.0,3063.0531840869994,525.1839779874155
4C,1,47,49.558439434832934,0.4129466887449836,0.3819776914211402,0.9574468085106383,3230.578527597954,503.25252930256204
4C,3,59,58.537395991117265,0.4878100900953381,0.12414861993398231,0.9491525423728814,3175.523378788552,1821.4145213297622
