Sample,n_total,n_concordant,C,n_fit,K,L,geometry_label,geometry_code,CLK
1A,160,40,0.25,120,1,1.0,SINGLE_LINE,2,CLK=C25-L100-K1-SINGLE_LINE
1B,160,40,0.25,120,1,0.9416666666666667,SINGLE_LINE,2,CLK=C25-L94-K1-SINGLE_LINE
1C,160,40,0.25,120,1,0.9583333333333334,SINGLE_LINE,2,CLK=C25-L96-K1-SINGLE_LINE
2A,160,40,0.25,120,2,1.0,FAN_FROM_UPPER,4,CLK=C25-L100-K2-FAN_FROM_UPPER
2B,160,40,0.25,120,2,0.875,FAN_FROM_UPPER,4,CLK=C25-L88-K2-FAN_FROM_UPPER
2C,160,40,0.25,120,3,0.9583333333333334,CONVERGE_TO_LOWER,5,CLK=C25-L96-K3-CONVERGE_TO_LOWER
3A,160,40,0.25,120,3,1.0,CONVERGE_TO_LOWER,5,CLK=C25-L100-K3-CONVERGE_TO_LOWER
3B,160,40,0.25,120,2,0.9833333333333333,CONVERGE_TO_LOWER,5,CLK=C25-L98-K2-CONVERGE_TO_LOWER?
3C,160,40,0.25,120,1,0.975,SINGLE_LINE,2,CLK=C25-L98-K1-SINGLE_LINE?
4A,160,40,0.25,120,3,1.0,MULTI_LINE,3,CLK=C25-L100-K3-MULTI_LINE
4B,160,40,0.25,120,2,0.9583333333333334,FAN_FROM_UPPER,4,CLK=C25-L96-K2-FAN_FROM_UPPER
4C,160,40,0.25,120,3,0.9333333333333333,MULTI_LINE,3,CLK=C25-L93-K3-MULTI_LINE
