x,y,x_err,y_err,t_up_true,t_low_true,is_concordant,Case,Tier,L,True_I,CL_code,Sample
18.22190479,0.592987758,0.171081535,0.005567434,3000,,TRUE,1,A,1,700,C25L100,1A
18.2641414,0.593538585,0.21868899,0.007106841,3000,,TRUE,1,A,1,700,C25L100,1A
18.00957149,0.590203075,0.265753262,0.008709168,3000,,TRUE,1,A,1,700,C25L100,1A
18.20517009,0.592769231,0.234130194,0.007623393,3000,,TRUE,1,A,1,700,C25L100,1A
18.19149605,0.592590552,0.17288942,0.005631897,3000,,TRUE,1,A,1,700,C25L100,1A
18.27637736,0.59369797,0.260760953,0.008470675,3000,,TRUE,1,A,1,700,C25L100,1A
18.19932557,0.592692874,0.240733692,0.007839914,3000,,TRUE,1,A,1,700,C25L100,1A
18.23731982,0.593188911,0.132628852,0.004313899,3000,,TRUE,1,A,1,700,C25L100,1A
18.22796676,0.593066878,0.102772422,0.003343813,3000,,TRUE,1,A,1,700,C25L100,1A
18.27628741,0.593696798,0.206826238,0.006718655,3000,,TRUE,1,A,1,700,C25L100,1A
18.17562021,0.592382968,0.155315395,0.005062066,3000,,TRUE,1,A,1,700,C25L100,1A
18.30897665,0.59412219,0.255066221,0.008276842,3000,,TRUE,1,A,1,700,C25L100,1A
18.15264463,0.592082294,0.126095296,0.004112833,3000,,TRUE,1,A,1,700,C25L100,1A
18.24345924,0.593268987,0.099208618,0.003226219,3000,,TRUE,1,A,1,700,C25L100,1A
18.23213155,0.593121224,0.215695041,0.007016914,3000,,TRUE,1,A,1,700,C25L100,1A
18.39656538,0.595259016,0.269971387,0.008735484,3000,,TRUE,1,A,1,700,C25L100,1A
18.14473204,0.591978674,0.157942581,0.005152936,3000,,TRUE,1,A,1,700,C25L100,1A
18.25138944,0.593372388,0.125838103,0.004091133,3000,,TRUE,1,A,1,700,C25L100,1A
18.18231756,0.592470557,0.177405768,0.005780764,3000,,TRUE,1,A,1,700,C25L100,1A
18.11531886,0.591593176,0.211915535,0.00692054,3000,,TRUE,1,A,1,700,C25L100,1A
18.26345869,0.59352969,0.243393132,0.007909841,3000,,TRUE,1,A,1,700,C25L100,1A
18.08271101,0.591165222,0.146897912,0.004802429,3000,,TRUE,1,A,1,700,C25L100,1A
18.13028849,0.591789435,0.236557542,0.007721458,3000,,TRUE,1,A,1,700,C25L100,1A
18.20411521,0.592755451,0.143508156,0.004672858,3000,,TRUE,1,A,1,700,C25L100,1A
18.27562093,0.593688119,0.116918739,0.003798134,3000,,TRUE,1,A,1,700,C25L100,1A
18.25735643,0.593450168,0.092630938,0.003010942,3000,,TRUE,1,A,1,700,C25L100,1A
18.22042847,0.592968486,0.212240817,0.006907198,3000,,TRUE,1,A,1,700,C25L100,1A
18.05585875,0.590812343,0.231246625,0.007566705,3000,,TRUE,1,A,1,700,C25L100,1A
18.14867969,0.592030375,0.193962416,0.006327273,3000,,TRUE,1,A,1,700,C25L100,1A
18.16709738,0.592271468,0.111642277,0.003639686,3000,,TRUE,1,A,1,700,C25L100,1A
18.11142705,0.591542131,0.175879381,0.005744443,3000,,TRUE,1,A,1,700,C25L100,1A
18.03469047,0.590533865,0.228138628,0.007470247,3000,,TRUE,1,A,1,700,C25L100,1A
18.2084721,0.592812363,0.191840711,0.006245749,3000,,TRUE,1,A,1,700,C25L100,1A
18.26042086,0.593490105,0.146804671,0.004771364,3000,,TRUE,1,A,1,700,C25L100,1A
18.16015363,0.592180595,0.170109317,0.005547059,3000,,TRUE,1,A,1,700,C25L100,1A
18.27434405,0.59367149,0.16602765,0.005393676,3000,,TRUE,1,A,1,700,C25L100,1A
18.0728947,0.59103627,0.13264411,0.004337849,3000,,TRUE,1,A,1,700,C25L100,1A
18.10638146,0.59147594,0.141480348,0.004621698,3000,,TRUE,1,A,1,700,C25L100,1A
18.20654949,0.59278725,0.211544905,0.006887693,3000,,TRUE,1,A,1,700,C25L100,1A
18.15274603,0.592083622,0.233062781,0.007601751,3000,,TRUE,1,A,1,700,C25L100,1A
3.553830874,0.185867396,0.020969303,0.00164506,3000,700,FALSE,1,A,1,700,C25L100,1A
3.181287113,0.175516465,0.038058386,0.003149609,3000,700,FALSE,1,A,1,700,C25L100,1A
5.458784573,0.238795528,0.032078543,0.002104923,3000,700,FALSE,1,A,1,700,C25L100,1A
11.89856819,0.417721513,0.174810953,0.009205599,3000,700,FALSE,1,A,1,700,C25L100,1A
2.857057877,0.166507927,0.040073162,0.003503166,3000,700,FALSE,1,A,1,700,C25L100,1A
5.352200107,0.235834135,0.072608711,0.004799039,3000,700,FALSE,1,A,1,700,C25L100,1A
2.969480104,0.169631519,0.034144466,0.002925753,3000,700,FALSE,1,A,1,700,C25L100,1A
13.146317,0.452389555,0.084731193,0.00437364,3000,700,FALSE,1,A,1,700,C25L100,1A
12.41716173,0.432130361,0.105157193,0.005489372,3000,700,FALSE,1,A,1,700,C25L100,1A
4.092886525,0.200844773,0.023850478,0.001755574,3000,700,FALSE,1,A,1,700,C25L100,1A
5.027224793,0.226804868,0.038557591,0.002609307,3000,700,FALSE,1,A,1,700,C25L100,1A
6.970383352,0.280794502,0.097317758,0.005880514,3000,700,FALSE,1,A,1,700,C25L100,1A
11.17189283,0.397531222,0.137078523,0.00731653,3000,700,FALSE,1,A,1,700,C25L100,1A
2.912678442,0.168053315,0.03072446,0.002659072,3000,700,FALSE,1,A,1,700,C25L100,1A
6.39471457,0.264799849,0.050576938,0.003141524,3000,700,FALSE,1,A,1,700,C25L100,1A
4.749597295,0.219091134,0.044413345,0.003073072,3000,700,FALSE,1,A,1,700,C25L100,1A
1.881519996,0.139403122,0.019170024,0.002130481,3000,700,FALSE,1,A,1,700,C25L100,1A
7.218954328,0.287700915,0.090005173,0.005380538,3000,700,FALSE,1,A,1,700,C25L100,1A
8.169584787,0.31411368,0.053370616,0.003078083,3000,700,FALSE,1,A,1,700,C25L100,1A
10.05358516,0.366459635,0.147971323,0.008090475,3000,700,FALSE,1,A,1,700,C25L100,1A
4.887148806,0.22291293,0.057553932,0.00393773,3000,700,FALSE,1,A,1,700,C25L100,1A
11.76834324,0.414103282,0.153473851,0.008100634,3000,700,FALSE,1,A,1,700,C25L100,1A
3.223705202,0.176695029,0.031869035,0.002620168,3000,700,FALSE,1,A,1,700,C25L100,1A
3.563695902,0.186141491,0.037604049,0.002946242,3000,700,FALSE,1,A,1,700,C25L100,1A
3.766586982,0.191778712,0.041283396,0.003152964,3000,700,FALSE,1,A,1,700,C25L100,1A
2.119186555,0.146006562,0.012908898,0.001334085,3000,700,FALSE,1,A,1,700,C25L100,1A
2.592824033,0.159166329,0.035463064,0.00326547,3000,700,FALSE,1,A,1,700,C25L100,1A
3.997410334,0.198192017,0.038131173,0.002835821,3000,700,FALSE,1,A,1,700,C25L100,1A
8.460707852,0.32220238,0.04793489,0.002738199,3000,700,FALSE,1,A,1,700,C25L100,1A
4.065073432,0.200072001,0.057763493,0.004264446,3000,700,FALSE,1,A,1,700,C25L100,1A
10.42677873,0.376828621,0.05790985,0.003139333,3000,700,FALSE,1,A,1,700,C25L100,1A
10.17697113,0.369887849,0.083246718,0.004538475,3000,700,FALSE,1,A,1,700,C25L100,1A
4.850316476,0.221889564,0.036347669,0.002494219,3000,700,FALSE,1,A,1,700,C25L100,1A
4.252541235,0.205280694,0.023472406,0.001699607,3000,700,FALSE,1,A,1,700,C25L100,1A
2.153724799,0.146966189,0.028042054,0.002870307,3000,700,FALSE,1,A,1,700,C25L100,1A
2.853097054,0.166397877,0.028936763,0.002531468,3000,700,FALSE,1,A,1,700,C25L100,1A
2.455906116,0.155362137,0.015712112,0.001490937,3000,700,FALSE,1,A,1,700,C25L100,1A
5.117069133,0.229301145,0.04234352,0.002846185,3000,700,FALSE,1,A,1,700,C25L100,1A
6.278319829,0.261565882,0.061584694,0.003848591,3000,700,FALSE,1,A,1,700,C25L100,1A
7.020388228,0.282183861,0.072501113,0.004371263,3000,700,FALSE,1,A,1,700,C25L100,1A
3.774247197,0.191991547,0.051356901,0.003918698,3000,700,FALSE,1,A,1,700,C25L100,1A
11.42972808,0.404695039,0.164124017,0.008716766,3000,700,FALSE,1,A,1,700,C25L100,1A
11.26077465,0.400000757,0.145839963,0.007770704,3000,700,FALSE,1,A,1,700,C25L100,1A
2.065208444,0.144506809,0.02199345,0.002308389,3000,700,FALSE,1,A,1,700,C25L100,1A
4.242623669,0.20500514,0.042093327,0.003050948,3000,700,FALSE,1,A,1,700,C25L100,1A
4.024667497,0.198949343,0.046600147,0.003455342,3000,700,FALSE,1,A,1,700,C25L100,1A
5.779361109,0.247702578,0.072966292,0.004690987,3000,700,FALSE,1,A,1,700,C25L100,1A
8.014991377,0.309818384,0.115105492,0.00667408,3000,700,FALSE,1,A,1,700,C25L100,1A
5.552371021,0.241395778,0.071087089,0.004635891,3000,700,FALSE,1,A,1,700,C25L100,1A
5.101661374,0.228873049,0.031552683,0.002123296,3000,700,FALSE,1,A,1,700,C25L100,1A
2.489530737,0.156296379,0.012753933,0.001201066,3000,700,FALSE,1,A,1,700,C25L100,1A
5.368187259,0.23627833,0.043048964,0.002842171,3000,700,FALSE,1,A,1,700,C25L100,1A
2.181060929,0.147725709,0.017097521,0.001737051,3000,700,FALSE,1,A,1,700,C25L100,1A
2.555843145,0.158138834,0.013520398,0.00125483,3000,700,FALSE,1,A,1,700,C25L100,1A
8.605702012,0.326230966,0.099505068,0.005658161,3000,700,FALSE,1,A,1,700,C25L100,1A
15.3538667,0.513725157,0.113396416,0.005691197,3000,700,FALSE,1,A,1,700,C25L100,1A
2.494941893,0.156446725,0.029892417,0.002811631,3000,700,FALSE,1,A,1,700,C25L100,1A
2.550516664,0.157990841,0.016711317,0.001552765,3000,700,FALSE,1,A,1,700,C25L100,1A
3.107836747,0.173475685,0.034544961,0.002892387,3000,700,FALSE,1,A,1,700,C25L100,1A
14.44837891,0.488566657,0.097256062,0.004933017,3000,700,FALSE,1,A,1,700,C25L100,1A
12.85851175,0.444393038,0.1461252,0.007575179,3000,700,FALSE,1,A,1,700,C25L100,1A
4.242767243,0.205009129,0.050903701,0.003689475,3000,700,FALSE,1,A,1,700,C25L100,1A
3.657921058,0.188759487,0.035634323,0.002758254,3000,700,FALSE,1,A,1,700,C25L100,1A
11.85708931,0.416569045,0.131730786,0.006942045,3000,700,FALSE,1,A,1,700,C25L100,1A
3.761857974,0.191647319,0.030735919,0.002348756,3000,700,FALSE,1,A,1,700,C25L100,1A
15.35920973,0.51387361,0.163694141,0.008215081,3000,700,FALSE,1,A,1,700,C25L100,1A
3.307123012,0.179012749,0.034696495,0.002817153,3000,700,FALSE,1,A,1,700,C25L100,1A
5.62736801,0.24347953,0.078017993,0.005063411,3000,700,FALSE,1,A,1,700,C25L100,1A
2.169856155,0.14741439,0.029019274,0.002957241,3000,700,FALSE,1,A,1,700,C25L100,1A
4.952188127,0.224720014,0.038657347,0.002631285,3000,700,FALSE,1,A,1,700,C25L100,1A
6.930812481,0.279695046,0.091983901,0.005568057,3000,700,FALSE,1,A,1,700,C25L100,1A
2.460773602,0.155497377,0.021283707,0.00201739,3000,700,FALSE,1,A,1,700,C25L100,1A
2.014751151,0.143104879,0.024285939,0.002587493,3000,700,FALSE,1,A,1,700,C25L100,1A
6.166891191,0.258469896,0.040932821,0.002573396,3000,700,FALSE,1,A,1,700,C25L100,1A
10.41630656,0.376537657,0.155236473,0.008417433,3000,700,FALSE,1,A,1,700,C25L100,1A
11.13014233,0.396371207,0.103930935,0.005551847,3000,700,FALSE,1,A,1,700,C25L100,1A
5.206473896,0.231785209,0.038155763,0.002547965,3000,700,FALSE,1,A,1,700,C25L100,1A
7.6228152,0.298921976,0.056688396,0.003334478,3000,700,FALSE,1,A,1,700,C25L100,1A
2.52310902,0.157229334,0.014081685,0.001316265,3000,700,FALSE,1,A,1,700,C25L100,1A
6.454598609,0.266463695,0.081884819,0.005070648,3000,700,FALSE,1,A,1,700,C25L100,1A
2.482418039,0.156098757,0.020866978,0.001968228,3000,700,FALSE,1,A,1,700,C25L100,1A
4.906004034,0.223436813,0.055478675,0.003790043,3000,700,FALSE,1,A,1,700,C25L100,1A
10.10029531,0.367757452,0.09577174,0.005230655,3000,700,FALSE,1,A,1,700,C25L100,1A
7.357472544,0.29154957,0.0834168,0.004958251,3000,700,FALSE,1,A,1,700,C25L100,1A
1.922258174,0.140535011,0.023464928,0.002573258,3000,700,FALSE,1,A,1,700,C25L100,1A
1.995556239,0.142571559,0.018759999,0.002010449,3000,700,FALSE,1,A,1,700,C25L100,1A
4.405959674,0.209543345,0.054358682,0.003877873,3000,700,FALSE,1,A,1,700,C25L100,1A
3.018188466,0.170984855,0.029871003,0.002538355,3000,700,FALSE,1,A,1,700,C25L100,1A
1.907790108,0.140133023,0.011157124,0.001229287,3000,700,FALSE,1,A,1,700,C25L100,1A
4.385645997,0.20897894,0.038273635,0.002735646,3000,700,FALSE,1,A,1,700,C25L100,1A
14.72512455,0.496255888,0.201065177,0.010164238,3000,700,FALSE,1,A,1,700,C25L100,1A
3.07948596,0.172687973,0.041823278,0.003517979,3000,700,FALSE,1,A,1,700,C25L100,1A
3.50458586,0.18449915,0.027999666,0.002211066,3000,700,FALSE,1,A,1,700,C25L100,1A
4.097613495,0.200976109,0.023963319,0.001762997,3000,700,FALSE,1,A,1,700,C25L100,1A
6.812227319,0.27640022,0.06185107,0.00376433,3000,700,FALSE,1,A,1,700,C25L100,1A
11.27926499,0.400514501,0.112444865,0.005989193,3000,700,FALSE,1,A,1,700,C25L100,1A
11.35714049,0.402678231,0.108265339,0.005757976,3000,700,FALSE,1,A,1,700,C25L100,1A
3.762500071,0.19166516,0.039162232,0.002992439,3000,700,FALSE,1,A,1,700,C25L100,1A
7.756628099,0.302639896,0.079857748,0.004673708,3000,700,FALSE,1,A,1,700,C25L100,1A
3.062597249,0.172218729,0.025189628,0.002124729,3000,700,FALSE,1,A,1,700,C25L100,1A
10.71464621,0.384826867,0.100544768,0.005416744,3000,700,FALSE,1,A,1,700,C25L100,1A
5.133860508,0.229767685,0.054530364,0.003660788,3000,700,FALSE,1,A,1,700,C25L100,1A
12.47279059,0.433675979,0.066834544,0.003485732,3000,700,FALSE,1,A,1,700,C25L100,1A
2.009336506,0.142954436,0.019191531,0.002048075,3000,700,FALSE,1,A,1,700,C25L100,1A
4.739876099,0.218821036,0.026568354,0.001839831,3000,700,FALSE,1,A,1,700,C25L100,1A
3.331248785,0.17968307,0.016711566,0.001352099,3000,700,FALSE,1,A,1,700,C25L100,1A
12.10512753,0.423460656,0.100847111,0.005291739,3000,700,FALSE,1,A,1,700,C25L100,1A
5.628431514,0.243509079,0.041790139,0.00271202,3000,700,FALSE,1,A,1,700,C25L100,1A
5.09657522,0.228731733,0.027958246,0.001882128,3000,700,FALSE,1,A,1,700,C25L100,1A
5.297912453,0.234325781,0.075168011,0.004987003,3000,700,FALSE,1,A,1,700,C25L100,1A
4.269331131,0.205747193,0.0477789,0.003453834,3000,700,FALSE,1,A,1,700,C25L100,1A
10.50512246,0.37900536,0.100266922,0.005426167,3000,700,FALSE,1,A,1,700,C25L100,1A
3.994959159,0.198123913,0.05190305,0.003861079,3000,700,FALSE,1,A,1,700,C25L100,1A
4.015797597,0.198702898,0.021277092,0.001579196,3000,700,FALSE,1,A,1,700,C25L100,1A
6.744281785,0.274512389,0.083533351,0.005100085,3000,700,FALSE,1,A,1,700,C25L100,1A
