Sample,k,n_assigned,n_soft,weight,sigma_std,inlier_frac_assigned,upper_ma,lower_ma
5A,0,75,74.25683589513574,0.618807254899538,0.02,1.0,2999.882108928673,1499.1772931591468
5A,1,45,45.74316410486426,0.3811927451004784,0.4162954356736853,0.9777777777777777,2307.9395853939604,562.4805797430287
5B,0,82,76.29848510759072,0.6358630597030396,0.13550662128629296,0.9512195121951219,2999.1286367113153,1484.7824393363642
5B,1,38,43.70151489240928,0.36413694029697713,0.47851536825726304,0.9736842105263158,2321.4940980070833,631.319769306927
5C,0,39,45.0994413493064,0.37892663416943895,0.6,0.9230769230769231,2273.15021216784,531.6559523344631
5C,1,80,73.90055865069358,0.6210733658305777,0.20824188840318184,0.975,3087.1361057765457,1502.6611862526697
6A,0,49,48.179878240923316,0.40487404882876077,0.02,1.0,3000.124417678892,1498.9246085942634
6A,1,34,34.828334775966304,0.29267400163635593,0.35396586212594416,0.9705882352941176,2351.985645096257,604.0817580726834
6A,2,36,35.99178698311038,0.3024519495349086,0.02,1.0,3000.0000000352898,500.00000057818113
6B,0,61,55.9102408305139,0.46595382088162,0.08836705139649254,0.9180327868852459,2993.695688340887,1484.1932526375995
6B,1,34,31.974852857240055,0.26646019734453014,0.17936705675080608,0.9411764705882353,2977.155170107327,490.14043782760547
6B,2,25,32.11490631224605,0.26758598177387505,0.4565329761803058,0.96,2195.5259535504824,466.8854370796134
6C,0,63,56.58319060373827,0.4796061942563259,0.15906439133683,0.9523809523809523,3052.057454134077,1477.4269509349065
6C,1,28,27.6086590060662,0.23401646813386337,0.3145790774786949,0.9642857142857143,2996.150855146504,492.99322930054996
6C,2,27,33.808150390195536,0.2863773376098362,0.46646717649132047,1.0,2207.8908893763546,423.95961412877244
7A,0,36,35.28846478276366,0.2940668894483057,0.02,1.0,2999.817413227157,1499.714278941986
7A,1,32,33.09836058957124,0.27582049937845016,0.47711819184729387,1.0,2447.839799080414,591.8440840225323
7A,2,52,51.6131746276651,0.4301126111732691,0.02,1.0,3200.1054295418394,1498.9573923368848
7B,0,26,32.08025711877589,0.2673116031146315,0.4543140697603866,0.9230769230769231,2520.4951166250617,587.3415743250678
7B,1,94,87.91974288122412,0.7326883968853851,0.159447508813483,0.9787234042553191,3164.345250990308,1500.7428272471975
7C,0,24,32.92901064652514,0.27438275522682903,0.48625390810582353,1.0,2505.4957311752823,573.7426478762071
7C,1,96,87.07098935347486,0.7256172447731875,0.2521157164062225,0.9791666666666666,3158.024473109886,1504.7317822929979
