sample_id,geochronid,analysis_document,local_pdf_path,pdf_download_status,parse_status,row_parser_used,table_rows_extracted,group_counts,non_d_rows,d_rows,has_group_I,sample_hint_from_table,interpretation_notes,error,sample_dlat,sample_dlong,siteid,tectonic_unit,analysis_doc_link,originator_name,location_join_mode,location_conflict_flag,sample_group_ims_overall,sample_group_ims_basis,sample_group_counts_all_codes
112101,112101.1,112101.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/112101.1.pdf,DOWNLOADED,OK_LEGACY,LEGACY_FREEFORM,18,LEGACY_ROWS:18,18,0,N,112101.0,"sources of error alone (chi-squared = l.Ol), and corresponding to an age of 1792 & 9 Ma. This is (10.1) within this population is slightly discordant. Analysis 1.1 indicates an age for the core of",,-22.617007,122.29167,DRN112101,Talbot and Connaughton Terranes,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/112101.1.pdf,Nelson D.R.,sample_id+geochronid,,I,No S/M groups present; forced to I,
112112,112112.1,112112.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/112112.1.pdf,DOWNLOADED,OK_LEGACY,LEGACY_FREEFORM,43,LEGACY_ROWS:43,43,0,N,112112.0,"207Pb/206Pb age of 2730 ± 13 Ma, is interpreted to be of a xenocrystic zircon. Analysis 11.1, with a lower 207Pb/206Pb age of 2558 ± 4 Ma, has a significantly higher U",,-29.736197,122.09312,DRN112112,Eastern Goldfields Superterrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/112112.1.pdf,Nelson D.R.,sample_id+geochronid,,I,No S/M groups present; forced to I,
112159,112159.1,112159.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/112159.1.pdf,DOWNLOADED,OK_LEGACY,LEGACY_FREEFORM,45,LEGACY_ROWS:45,45,0,N,112159.0,"Forty-two samples have 207Pb/206Pb ratios belonging to single population with little excess scatter (chi-squared = 1.28) and indicating an interpreted extrusion age for this volcanic rock of 2692 ± 4 Ma. Analyses 31.1 and 42.1 have lower 207Pb/206Pb and fall statistically outside the main population. These analyses probably reflect some post-crystallization disturbance of these zircons. Analysis 30.1 has a significantly higher 207Pb/206Pb ratio, suggesting that this grain may be a xenocryst. Figure 34. Concordia plot for sample 112159: porphyritic dacite, Royal Arthur 129",,-28.426027,121.143819,DRN112159,Eastern Goldfields Superterrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/112159.1.pdf,Nelson D.R.,sample_id+geochronid,,I,No S/M groups present; forced to I,
112170,112170.1,112170.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/112170.1.pdf,DOWNLOADED,OK_LEGACY,LEGACY_FREEFORM,19,LEGACY_ROWS:19,19,0,N,112170.0,"with no excess scatter (chi-squared = 0.64) and indicating an age of 1851 k 30 Ma. This population, on zircons of detrital origin, provides the maximum age of deposition of the sandstone and indicate an age of 2634 A 14 Ma (group 2). No zircons derived from the 1700 to 1160 Ma",,-33.933426,120.033329,DRN112170,Barren Basin,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/112170.1.pdf,Nelson D.R.,sample_id+geochronid,,I,No S/M groups present; forced to I,
118990,118990.1,118990.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/118990.1.pdf,DOWNLOADED,OK_LEGACY,LEGACY_FREEFORM,13,LEGACY_ROWS:13,13,0,N,,Analyses 1.1 and 13.1 are concordant and have a pooled 2wPb/238Uage of 283 k 2 Ma. Four 207Pb/206Pb ratios corresponding to an age of 1295 is 32 Ma (chi-squared = 1.47). The zircons of ratios corresponding to an age of 1779 is 70 Ma (chi-squared = 2.04). The high chi-squared value 207Pb/206Pb age of 1764 is 13 Ma ( 1CY error) and provides a maximum age for deposition of the,,-26.312867,118.96829,DRN125,Yerrida Basin,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/118990.1.pdf,Nelson D.R.,sample_id+geochronid,,I,No S/M groups present; forced to I,
133384,133384.1,133384.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/133384.1.pdf,DOWNLOADED,OK_UPBDATA,UPBDATA_LINK,21,D:2; I:19,19,2,Y,133384.0,"is significantly older than the Bryah Group. Geochemical The analyses are concordant to moderately discordant data for mafic and ultramafic rocks suggest a mid-ocean (Fig. 2). One analysis is >5% discordant and one indicates at a mid-ocean ridge, whereas the Bryah Group is thought these two analyses (Group D, Table 1) are unreliable, matrix of plagioclase and clinopyroxene with minor is interpreted as the magmatic crystallization age of the display concentric zoning. A CL image of all zircons is",,-25.558226,117.73509,SAOMOO2071,Capricorn Orogen,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/133384.1.pdf,Occhipinti S.A.,sample_id+geochronid,,I,No S/M groups present; forced to I,D:2; I:19
142832,142832.1,142832.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/142832.1.pdf,DOWNLOADED,OK_LEGACY,LEGACY_FREEFORM,23,LEGACY_ROWS:23,23,0,N,142832.0,"Most analyses are concordant or slightly to highly discordant, with the discordance pattern ratios, many analyses may be assigned to one of 3 groups. Nine concordant and discordant Pb/206Pb ratios defining a single population and indicating a weighted mean date of 3012 ± 4 Ma (chi-squared = 1.38). Three concordant and discordant analyses of 3 zircons (2.1, 11.1 and 17.1), mean date of 2972 ± 7 Ma (chi-squared = 0.07). Three concordant and discordant analyses of 3 population and indicating a weighted mean date of 2988 ± 10 Ma (chi-squared = 0.49). Discordant The date of 3012 ± 4 Ma indicated by the nine analyses of Group 1 is interpreted as the time of",,-21.110326,116.89107,DRN244,Sholl Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/142832.1.pdf,Nelson D.R.,sample_id+geochronid,,I,No S/M groups present; forced to I,
142933,142933.1,142933.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/142933.1.pdf,DOWNLOADED,OK_LEGACY,LEGACY_FREEFORM,30,LEGACY_ROWS:30,30,0,N,142933.0,"indicating a weighted mean date of 1989 ± 3 Ma (chi-squared = 1.43). Concordant analysis 27.1, on a large (160 × 250 µm), irregular-shaped, structureless grain, and slightly discordant analysis core, have 207Pb/206Pb ratios defining a single population and indicating a weighted mean date of",,-25.406296,116.217421,DRN1096,Glenburgh Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/142933.1.pdf,Nelson D.R.,sample_id+geochronid,,I,No S/M groups present; forced to I,
142984,142984.1,142984.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/142984.1.pdf,DOWNLOADED,OK_LEGACY,LEGACY_FREEFORM,25,LEGACY_ROWS:25,25,0,N,142984.0,"Most analyses are concordant or slightly normal and reverse discordant, with the discordance to two groups. Fifteen concordant to slightly discordant analyses of 15 zircons (1.1, 2.1, 4.1, 9.1, defining a single population and indicating a weighted mean date of 3300 ± 4 Ma (chi- squared = 1.34). Six concordant to slightly discordant analyses of 6 zircons (3.1, 7.1, 8.1, 15.1, indicating a weighted mean date of 3321 ± 6 Ma (chi-squared = 1.14). Concordant analysis 5.1 and discordant analysis 10.1 have lower 207Pb/206Pb ratios than members of these two groups, whereas slightly reversely discordant analysis 25.1 and discordant analysis 6.1 have higher 207Pb/206Pb The date of 3321 ± 6 Ma indicated by the weighted mean 207Pb/206Pb ratio of the six analyses of Group 2 is interpreted as the time of igneous crystallization of the grey, even-grained phase within this sample, whereas the date of 3300 ± 4 Ma indicated by the weighted mean 207Pb/206Pb ratio of the fifteen analyses of Group 1 is interpreted as the time of igneous crystallization of the pegmatite",,-21.185066,120.03055,DRN1124,Tambina Supersuite,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/142984.1.pdf,Nelson D.R.,sample_id+geochronid,,I,No S/M groups present; forced to I,
165365,165365.1,165365.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/165365.1.pdf,DOWNLOADED,OK_LEGACY,LEGACY_FREEFORM,23,LEGACY_ROWS:23,23,0,N,165365.0,"chlorite, sericite, and rare prehnite, as well as altered The analyses are concordant to highly discordant, with the The larger augen are clouded but untwinned orthoclase slightly discordant analyses of 18 zircons have 207Pb/206Pb clouded plagioclase. Smaller augen of plagioclase, weighted mean 207Pb/206Pb date of 2686 ± 5 Ma (chi- irregularly dusted with sericite, are more abundant. The squared = 1.08). Discordant analyses 4.1, 5.1, 6.1, 7.2, and there are lenses of fine-grained recrystallized plagioclase, discordant analyses of 18 zircons is interpreted as the age apatite are also present. Altered, possibly metamict grains remaining discordant analyses are interpreted to be of",,-28.048526,119.49961,SFCA 1153,Youanmi Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/165365.1.pdf,Chen S.F.,sample_id+geochronid,,I,No S/M groups present; forced to I,
168973,168973.1,168973.1.pdf,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/168973.1.pdf,DOWNLOADED,OK_LEGACY,LEGACY_FREEFORM,21,LEGACY_ROWS:21,21,0,N,168973.0,"All analyses are concordant or slightly discordant, with the discordance pattern loss. Eighteen concordant and slightly discordant analyses of 18 zircons have Pb/ 206Pb ratios defining a single population and indicating a weighted mean The date of 2656 ± 4 Ma indicated by the weighted mean 207Pb/206Pb ratio of 18 concordant and slightly discordant analyses is interpreted as the time of igneous",,-29.566687,118.714861,DRN270,Youanmi Terrane,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/168973.1.pdf,Nelson D.R.,sample_id+geochronid,,I,No S/M groups present; forced to I,
