sample_id,geochronid,analysis_document,parser_type,raw_row_text,group_id,spot_no,grain_spot,u238_ppm,th232_ppm,th232_u238,f204_pct,u238_pb206_ratio,u238_pb206_ratio_1sigma,pb207_pb206_ratio,pb207_pb206_ratio_1sigma,u238_pb206_star_ratio,u238_pb206_star_ratio_1sigma,pb207_star_pb206_star_ratio,pb207_star_pb206_star_ratio_1sigma,u238_pb206_star_date_ma,u238_pb206_star_date_1sigma_ma,pb207_star_pb206_star_date_ma,pb207_star_pb206_star_date_1sigma_ma,disc_pct
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,1.1    125       210   121   0.324    0.24041   0.00242   0.43874   0.00558   0.6619   0.0088   21.941    0.386      105        3 123   16,,,1.1,125,210,121,0.324,,,,,,,,,,,,,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,1.2    49 1      702   205   1.623    0.10734   0.00192   0.38408   0.00494   0.3104   0.0033    4.594    0.101       99        I755    33,,,1.2,49,1,702,205,,,,,,,,,,,,,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,3.1   302       135   105   0.177    0.11063   0.00099   0.12604   0.00209   0.3250   0.0093    4.958    0.154      100        1810    16,,,3.1,302,135,105,0.177,,,,,,,,,,,,,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,4.1   234       121    85   0.142    0.11088   0.00103   0.14455   0.00222   0.3333   0.0096    5.095    0.159      102        1814    17,,,4.1,234,121,85,0.142,,,,,,,,,,,,,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,5.1   76 1      765   304   0.293    0.10980   0.00070   0.28853   0.00189   0.3290   0.0093    4.982    0.149      102        1796    12,,,5.1,76,1,765,304,,,,,,,,,,,,,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,6.1   510      1109   247   0.064    0.10906   0.00077   0.60951   0.00320   0.3259   0.0093    4.900    0.148      102        1784    13,,,6.1,510,1109,247,0.064,,,,,,,,,,,,,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,7.1   420       126   144   0.138    0.10942   0.00081   0.08121   0.00144   0.3330   0.0100    5.024    0.160      104        1790    13,,,7.1,420,126,144,0.138,,,,,,,,,,,,,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,8.1   389       963   210   0.210    0.10998   0.00103   0.68998   0.00436   0.3462   0.0105    5.250    0.172      107        1799    17,,,8.1,389,963,210,0.210,,,,,,,,,,,,,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,9.1   418       938   215   0.239    0.10883   0.00102   0.61324   0.00397   0.3451   0.0104    5.179    0.169      I07        1780    17,,,9.1,418,938,215,0.239,,,,,,,,,,,,,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,10.1   362       763   113   0.585    0.11215   0.00149   0.14145   0.00330   0.2846   0.0086    4.400    0.152       88        1835    24,,,10.1,362,763,113,0.585,,,,,,,,,,,,,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,11.1   345       194   130   0.668    0.10794   0.00181   0.12780   0.00403   0.3466   0.0105    5.158    0.188      109        1765    31,,,11.1,345,194,130,0.668,,,,,,,,,,,,,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,12.1   567       818   247   0.354    0.10911   0.00084   0.40614   0.00255   0.3307   0.0034    4.975    0.068      103        1785    14,,,12.1,567,818,247,0.354,,,,,,,,,,,,,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,13.1   269       108    95   0.202    0.11071   0.00105   0.1 12%   0.00216   0.3355   0.0036    5.121    0.077      103        1811    17,,,13.1,269,108,95,0.202,,,,,,,,,,,,,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,14.1   226      1293   124   8.934    0.09860   0.00508   0.54936   0.01263   0.3073   0.0036    4.178    0.227      108        1 598   96,,,14.1,226,1293,124,8.934,,,,,,,,,,,,,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,15.1   217       305    94   0.476    0.10996   0.00157   0.39474   0.00443   0.3290   0.0035    4.988    0.094      102        1799    26,,,15.1,217,305,94,0.476,,,,,,,,,,,,,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,16.1   311       166   112   0.446    0.10890   0.00124   0.14807   0.00278   0.3283   0.0035    4.930    0.081      103         1781   21,,,16.1,311,166,112,0.446,,,,,,,,,,,,,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,"17.1   512       278   188   0.292    0.10868   0.00087   0.15800   0,00196   0.3345   0.0035    5.013    0.069      105        1777    15",,,17.1,512,278,188,0.292,,,,,,,,,,,,,
112101,112101.1,112101.1.pdf,LEGACY_FREEFORM,18.1   189       174    77   3.731    0.10886   0.00395   0.23914   0.00923   0.3135   0.0036    4.705    0.185       99         I780   66,,,18.1,189,174,77,3.731,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,1.1     242     144     146    0.082    0.18234      0.00053    0.16070      0.00096     0.5199     0.0116     13.07      0.30      101          2 674        5,,,1.1,242,144,146,0.082,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,2.1      80      36      47    0.267    0.18366      0.00100    0.11524      0.00180     0.5234     0.0119     13.25      0.32      101          2 686        9,,,2.1,80,36,47,0.267,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,3.1      91      33      52    0.212    0.18233      0.00102    0.09768      0.00185     0.5131     0.0116     12.90      0.31      100          2 674        9,,,3.1,91,33,52,0.212,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,4.1     169      94     100    0.120    0.18295      0.00065    0.14844      0.00117     0.5123     0.0115     12.92      0.30      100          2 680        6,,,4.1,169,94,100,0.120,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,5.1     488     342     297    0.010    0.18454      0.00034    0.19168      0.00061     0.5137     0.0114     13.07      0.29       99          2 694        3,,,5.1,488,342,297,0.010,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,6.1     142      78      85    0.123    0.18301      0.00071    0.14956      0.00127     0.5224     0.0117     13.18      0.31      101          2 680        6,,,6.1,142,78,85,0.123,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,7.1     169      88      99    0.201    0.18343      0.00070    0.13866      0.00126     0.5129     0.0115     12.97      0.30       99          2 684        6,,,7.1,169,88,99,0.201,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,8.1     111      49      64    0.114    0.18307      0.00077    0.11854      0.00130     0.5115     0.0115     12.91      0.30       99          2 681        7,,,8.1,111,49,64,0.114,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,9.1      85      29      50    0.383    0.18109      0.00113    0.08937      0.00211     0.5343     0.0121     13.34      0.32      104          2 663       10,,,9.1,85,29,50,0.383,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,10.1     121      42      70    1.055    0.18447      0.00130    0.10353      0.00264     0.5053     0.0114     12.85      0.31       98          2 693       12,,,10.1,121,42,70,1.055,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,11.1     476     259     222    0.073    0.17002      0.00037    0.13733      0.00063     0.4133     0.0092      9.69      0.22       87          2 558        4,,,11.1,476,259,222,0.073,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,12.1     119      47      66    0.536    0.18434      0.00106    0.10024      0.00200     0.4946     0.0111     12.57      0.30       96          2 692        9,,,12.1,119,47,66,0.536,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,13.1     114      60      69    0.766    0.18119      0.00109    0.14023      0.00222     0.5173     0.0117     12.92      0.31      101          2 664       10,,,13.1,114,60,69,0.766,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,14.1      78      29      45    0.695    0.18859      0.00152    0.10353      0.00301     0.5091     0.0116     13.24      0.33       97          2 730       13,,,14.1,78,29,45,0.695,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,15.1     127      58      73    0.356    0.18256      0.00085    0.12970      0.00159     0.5058     0.0114     12.73      0.30       99          2 676        8,,,15.1,127,58,73,0.356,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,16.1     231      91     132    1.232    0.18392      0.00089    0.11334      0.00182     0.4929     0.0110     12.50      0.29       96          2 689        8,,,16.1,231,91,132,1.232,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,17.1     102      32      55    0.213    0.18572      0.00092    0.08672      0.00155     0.4910     0.0111     12.57      0.30       95          2 705        8,,,17.1,102,32,55,0.213,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,18.1     154      59      89    1.283    0.18306      0.00111    0.09940      0.00227     0.5006     0.0112     12.64      0.30       98          2 681       10,,,18.1,154,59,89,1.283,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,19.1     106      47      62    1.049    0.18052      0.00135    0.11127      0.00276     0.5051     0.0114     12.57      0.31       99          2 658       12,,,19.1,106,47,62,1.049,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,20.1     110      37      63    0.157    0.18566      0.00095    0.09221      0.00164     0.5208     0.0118     13.33      0.32      100          2 704        8,,,20.1,110,37,63,0.157,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,21.1     105      37      61    0.264    0.18416      0.00111    0.09611      0.00206     0.5184     0.0117     13.16      0.32      100          2 691       10,,,21.1,105,37,61,0.264,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,22.1     119      58      66    1.454    0.18036      0.00145    0.10764      0.00304     0.4803     0.0108     11.94      0.30       95          2 656       13,,,22.1,119,58,66,1.454,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,23.1     126      47      73    0.232    0.18259      0.00090    0.10169      0.00161     0.5193     0.0117     13.08      0.31      101          2 677        8,,,23.1,126,47,73,0.232,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,24.1     137      70      82    0.275    0.18455      0.00087    0.13958      0.00160     0.5183     0.0117     13.19      0.31      100          2 694        8,,,24.1,137,70,82,0.275,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,25.1     115      43      67    0.455    0.18358      0.00100    0.09682      0.00185     0.5206     0.0118     13.18      0.31      101          2 686        9,,,25.1,115,43,67,0.455,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,26.1     186     104     111    0.470    0.18352      0.00081    0.15300      0.00159     0.5112     0.0115     12.93      0.30       99          2 685        7,,,26.1,186,104,111,0.470,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,27.1     141      65      83    0.240    0.18367      0.00083    0.12401      0.00148     0.5170     0.0116     13.09      0.31      100          2 686        7,,,27.1,141,65,83,0.240,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,28.1      85      35      50    0.373    0.18402      0.00115    0.11272      0.00212     0.5251     0.0119     13.32      0.32      101          2 689       10,,,28.1,85,35,50,0.373,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,29.1     177      91     104    0.307    0.18157      0.00073    0.13581      0.00135     0.5149     0.0116     12.89      0.30      100          2 667        7,,,29.1,177,91,104,0.307,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,30.1     221      87     129    0.183    0.18375      0.00059    0.10561      0.00097     0.5232     0.0117     13.26      0.30      101          2 687        5,,,30.1,221,87,129,0.183,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,31.1     147      53      79    0.607    0.18114      0.00097    0.10392      0.00187     0.4780     0.0107     11.94      0.28       95          2 663        9,,,31.1,147,53,79,0.607,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,32.1     100     55      61     0.237    0.18230      0.00101    0.14924      0.00188     0.5313     0.0120     13.35      0.32      103          2 674       9,,,32.1,100,55,61,0.237,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,33.1     307    159     182     0.268    0.18314      0.00060    0.14185      0.00111     0.5149     0.0115     13.00      0.30      100          2 682       5,,,33.1,307,159,182,0.268,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,34.1     195     93     112     0.606    0.18022      0.00091    0.12666      0.00177     0.5017     0.0113     12.47      0.29       99          2 655       8,,,34.1,195,93,112,0.606,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,1.2     401    279     245     0.099    0.18418      0.00034    0.19002      0.00061     0.5138     0.0114     13.05      0.29       99          2 691       3,,,1.2,401,279,245,0.099,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,1.3     266    163     162     0.186    0.18401      0.00043    0.16752      0.00078     0.5201     0.0116     13.20      0.30      100          2 689       4,,,1.3,266,163,162,0.186,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,35.1     212     72     121     0.982    0.18126      0.00073    0.09182      0.00146     0.5029     0.0112     12.57      0.29       99          2 664       7,,,35.1,212,72,121,0.982,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,36.1      95     46      58     0.393    0.18364      0.00094    0.13454      0.00183     0.5300     0.0119     13.42      0.32      102          2 686       9,,,36.1,95,46,58,0.393,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,37.1     124     45      72     0.146    0.18380      0.00065    0.09627      0.00103     0.5279     0.0118     13.38      0.31      102          2 687       6,,,37.1,124,45,72,0.146,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,38.1     142     69      85     1.036    0.18424      0.00089    0.13133      0.00182     0.5105     0.0114     12.97      0.30       99          2 691       8,,,38.1,142,69,85,1.036,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,39.1     109     49      65     0.887    0.18375      0.00105    0.12657      0.00213     0.5164     0.0116     13.08      0.31      100          2 687       9,,,39.1,109,49,65,0.887,,,,,,,,,,,,,
112112,112112.1,112112.1.pdf,LEGACY_FREEFORM,40.1      94     42      56     0.381    0.18545      0.00093    0.12373      0.00174     0.5174     0.0117     13.23      0.31       99          2 702       8,,,40.1,94,42,56,0.381,,,,,,,,,,,,,
