Geochronid	Grp no	Spot no	Grain spot	238U(ppm)	232Th(ppm)	232Th_238U	f(%)	238U_206Pb	238U_206Pb_er	207Pb_206Pb	207Pb_206Pb_er	238U_206Pb*	238U_206Pb*_er	207Pb*_206*Pb	207Pb*_206*Pb_er	238U_206Pb*_age	238U_206Pb*_age_er	207Pb*_206Pb*_age	207Pb*_206Pb*_age_er	Disc(%)	Calibration Uncertainty included	calibration const	1 sigma external error	1 sigma internal error	ComPb_cor_meth
GSWA_248284.2	I	1	284-1.1	158.430	111.770	0.705	0.04576	1.98210	0.01743	0.17965346680	0.00085881810	1.9830	0.017444	0.1792424981	0.0008783578	2632.2	19.144	2645.8764274662	8.1324216550	0.5169	TRUE	0.005407412	0.5	0.149701334	204
GSWA_248284.2	I	2	284-2.1	365.620	157.920	0.432	0.01462	2.01050	0.01437	0.17936278160	0.00058815180	2.0108	0.014374	0.1792224508	0.0005918217	2602.2	15.465	2645.6908046142	5.4801891172	1.6438	TRUE	0.005407412	0.5	0.149701334	204
GSWA_248284.2	I	3	284-3.1	63.030	144.090	2.286	-0.03854	2.03840	0.02347	0.18072599490	0.00120292690	2.0376	0.023465	0.1810667982	0.0012267986	2574.0	24.536	2662.6682347521	11.2261693159	3.3301	TRUE	0.005407412	0.5	0.149701334	204
GSWA_248284.2	I	4	284-4.1	55.769	51.349	0.921	0.12325	2.06060	0.02455	0.17795947380	0.00132128510	2.0632	0.024603	0.1768568749	0.0014114297	2547.7	25.188	2623.6168140662	13.2724193773	2.8936	TRUE	0.005407412	0.5	0.149701334	204
GSWA_248284.2	I	5	284-5.1	50.905	103.020	2.024	0.05703	2.01540	0.02552	0.18108684550	0.00145753380	2.0165	0.025549	0.1805756405	0.0015021304	2596.2	27.166	2658.1666900799	13.7889380731	2.3312	TRUE	0.005407412	0.5	0.149701334	204
GSWA_248284.2	D	6	284-2.2	990.140	1101.300	1.112	0.03508	2.28760	0.01435	0.17397007030	0.00043475210	2.2884	0.014360	0.1736493142	0.0004393771	2337.1	12.448	2593.1329193522	4.2203864196	9.8735	TRUE	0.005407412	0.5	0.149701334	204
GSWA_248284.2	D	7	284-6.1	746.980	296.890	0.397	0.07360	2.58410	0.03999	0.16637216100	0.00047909190	2.5860	0.040020	0.1657206253	0.0004969736	2107.5	27.869	2514.8833979044	5.0405030840	16.1990	TRUE	0.005407412	0.5	0.149701334	204
GSWA_248284.2	I	8	284-7.1	74.392	117.900	1.585	0.00000	2.01650	0.02213	0.17965346680	0.00116456280	2.0165	0.022130	0.1796534668	0.0011645628	2596.2	23.556	2649.6764070664	10.7537448792	2.0182	TRUE	0.005407412	0.5	0.149701334	204
GSWA_248284.2	I	9	284-8.1	110.770	104.980	0.948	0.14200	2.00010	0.01938	0.17977375030	0.00099166420	2.0029	0.019424	0.1785007497	0.0010640476	2610.7	20.937	2638.9923209647	9.8990906669	1.0721	TRUE	0.005407412	0.5	0.149701334	204
GSWA_248284.2	I	10	284-9.1	42.403	68.994	1.627	-0.22466	1.94030	0.02709	0.17706737100	0.00150320920	1.9360	0.027079	0.1790720964	0.0016797210	2684.5	30.798	2644.2978663800	15.5691146737	-1.5203	TRUE	0.005407412	0.5	0.149701334	204
GSWA_248284.2	D	11	284-10.1	1234.900	50.885	0.041	0.06638	5.78020	0.03590	0.09980826120	0.00102964440	5.7840	0.035932	0.0992339073	0.0010378524	1028.0	5.932	1609.7672036429	19.4903146010	36.1400	TRUE	0.005407412	0.5	0.149701334	204
GSWA_248284.2	I	12	284-11.1	203.710	132.300	0.649	0.03253	2.07040	0.01657	0.17745829250	0.00073314410	2.0711	0.016581	0.1771676073	0.0007447450	2539.6	16.941	2626.5358231845	6.9889929200	3.3099	TRUE	0.005407412	0.5	0.149701334	204
GSWA_248284.2	I	13	284-12.1	67.801	102.050	1.505	-0.07467	2.01180	0.02222	0.18044533330	0.00117927870	2.0103	0.022216	0.1811169163	0.0012245655	2602.8	23.770	2663.1267815646	11.2021472369	2.2653	TRUE	0.005407412	0.5	0.149701334	204
GSWA_248284.2	I	14	284-13.1	392.010	184.830	0.471	-0.01162	2.11430	0.01484	0.17717763090	0.00059770190	2.1141	0.014842	0.1772878908	0.0006006316	2496.8	14.682	2627.6641692264	5.6321406327	4.9802	TRUE	0.005407412	0.5	0.149701334	204
GSWA_248284.2	I	15	284-14.1	88.438	54.561	0.617	0.00000	2.00550	0.03805	0.17658623690	0.00107635720	2.0055	0.038052	0.1765862369	0.0010763572	2608.0	40.759	2621.0696023830	10.1395442170	0.4986	TRUE	0.005407412	0.5	0.149701334	204
GSWA_248284.2	I	16	284-15.1	111.450	151.580	1.360	-0.01123	2.05460	0.01929	0.17819001730	0.00093046570	2.0544	0.019290	0.1782902535	0.0009357532	2556.7	19.935	2637.0326857731	8.7174452238	3.0463	TRUE	0.005407412	0.5	0.149701334	204
GSWA_248284.2	I	17	284-16.1	46.975	68.703	1.463	0.27130	2.04410	0.02661	0.17813989910	0.00138200130	2.0497	0.026737	0.1757141814	0.0015840079	2561.5	27.658	2612.8310199972	15.0076628979	1.9646	TRUE	0.005407412	0.5	0.149701334	204
GSWA_248284.2	D	18	284-17.1	235.880	338.700	1.436	0.01601	2.23460	0.02535	0.17926254540	0.00082392610	2.2349	0.025359	0.1791222146	0.0008302091	2383.9	22.696	2644.7623295619	7.6926064362	9.8634	TRUE	0.005407412	0.5	0.149701334	204
GSWA_248284.2	I	19	284-18.1	151.640	162.290	1.070	-0.02956	2.04130	0.01807	0.17914226180	0.00087855570	2.0407	0.018065	0.1794028761	0.0008914149	2570.8	18.894	2647.3605453991	8.2447703980	2.8920	TRUE	0.005407412	0.5	0.149701334	204
																									
