year,mount_id,samples_missing_count,samples_high_priority_count,samples_medium_priority_count,samples_low_priority_count,samples_with_documents_flag_y,samples_with_available_flag_y,candidate_mount_directory_url,candidate_mount_zip_url,doc_types_seen,example_igsn_links,example_samples
1995,95-12,5,5,0,0,5,5,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-12,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-12/95-12.zip,"SHRIMP Logsheet; SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB0002U; http://hdl.handle.net/10273/XXAB0002V; http://hdl.handle.net/10273/XXAB0002W; http://hdl.handle.net/10273/XXAB0002X; http://hdl.handle.net/10273/XXAB0002Y,32A-603; 70727; GC588; GCPIT627; W69
1996,96-73,5,5,0,0,5,5,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-73,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-73/96-73.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB0008Q; http://hdl.handle.net/10273/XXAB0008R; http://hdl.handle.net/10273/XXAB0008S; http://hdl.handle.net/10273/XXAB0008T; http://hdl.handle.net/10273/XXAB0008U,CHD-319; EMD-2; EMD-2 LEACHED; P2; R2
1999,99-45,5,5,0,0,5,5,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-45,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-45/99-45.zip,"SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB000JF; http://hdl.handle.net/10273/XXAB000JG; http://hdl.handle.net/10273/XXAB000JH; http://hdl.handle.net/10273/XXAB000JI; http://hdl.handle.net/10273/XXAB000JK,TRE 022; TRE 026; TRE 029; TRE 032; TRE 036
2002,C-37,5,5,0,0,5,5,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2002/C-37,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2002/C-37/C-37.zip,SHRIMP Logsheet,,MTM 1A; MTM 1B; MTM 7; MTM 8B; MTM 9
2009,09-14,5,5,0,0,5,5,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2009/09-14,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2009/09-14/09-14.zip,SHRIMP Logsheet,,MD 10; MD 12; MD 3; MD 4; MD 9
1998,98-20,4,4,0,0,4,0,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1998/98-20,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1998/98-20/98-20.zip,"SHRIMP Logsheet, Notebook Sketch",,BODD-1; BODD-3; BODD-4; BODD-5
2002,C-11,4,4,0,0,4,4,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2002/C-11,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2002/C-11/C-11.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB000VY; http://hdl.handle.net/10273/XXAB000VZ; http://hdl.handle.net/10273/XXAB000W0; http://hdl.handle.net/10273/XXAB000W1,ENGD5: 133.6-137.5; GMPO; KND 133: 153-156; KND 174: 164.1-165
2002,C-43,4,4,0,0,4,4,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2002/C-43,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2002/C-43/C-43.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB000YH; http://hdl.handle.net/10273/XXAB000YI; http://hdl.handle.net/10273/XXAB000YJ; http://hdl.handle.net/10273/XXAB000YK,SHD 13 104-106.5; SHD 13 115.8; SHD 13 309.5-312; SHD 13 386.6-389
1995,95-13,6,3,0,3,3,6,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-13,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-13/95-13.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB00030; http://hdl.handle.net/10273/XXAB00031; http://hdl.handle.net/10273/XXAB00032; http://hdl.handle.net/10273/XXAB00033; http://hdl.handle.net/10273/XXAB00034,32A-1377; 32A-588; 32A-603.7; A195-1; A224-1; SB390
1994,94-10,3,3,0,0,3,3,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1994/94-10,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1994/94-10/94-10.zip,"SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB0000D; http://hdl.handle.net/10273/XXAB0000E; http://hdl.handle.net/10273/XXAB0000F,FL11 PYRITE; FL11 ZR NO INCLUSIONS; FL11 ZR WITH INCLUSIONS
1994,94-29,3,3,0,0,3,3,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1994/94-29,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1994/94-29/94-29.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB0001S; http://hdl.handle.net/10273/XXAB0001T; http://hdl.handle.net/10273/XXAB0001U,YQ18; YQ3; YQ7
1995,95-30,3,3,0,0,3,3,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-30,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-30/95-30.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB00044; http://hdl.handle.net/10273/XXAB00045; http://hdl.handle.net/10273/XXAB00046,397587Z; 429121Z COARSE; 429121Z FINE
1997,97-22,3,3,0,0,3,3,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1997/97-22,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1997/97-22/97-22.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB000AP; http://hdl.handle.net/10273/XXAB000AQ; http://hdl.handle.net/10273/XXAB000AR,9796 7038G; 9796 9023; 9796 9044
1997,97-43,3,3,0,0,3,3,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1997/97-43,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1997/97-43/97-43.zip,"SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB000BZ; http://hdl.handle.net/10273/XXAB000C0; http://hdl.handle.net/10273/XXAB000C1,9796 7152; 9796 9209; 9796 9249
1997,97-44,3,3,0,0,3,3,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1997/97-44,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1997/97-44/97-44.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB000C3; http://hdl.handle.net/10273/XXAB000C4; http://hdl.handle.net/10273/XXAB000C5,9796 7153; 9796 9212; 9796 9237
1998,98-01,3,3,0,0,3,3,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1998/98-01,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1998/98-01/98-01.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB000CC; http://hdl.handle.net/10273/XXAB000CD; http://hdl.handle.net/10273/XXAB000CE,U922/1; U930/1; U931/1
1998,98-101,3,3,0,0,3,3,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1998/98-101,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1998/98-101/98-101.zip,"SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB000DC; http://hdl.handle.net/10273/XXAB000DD; http://hdl.handle.net/10273/XXAB000DE,U911/1A; U955/1; U961/1
1998,98-12,3,3,0,0,2,3,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1998/98-12,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1998/98-12/98-12.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB000DN; http://hdl.handle.net/10273/XXAB000DO; http://hdl.handle.net/10273/XXAB000DP,9796 7150; 9796 9201; 9796 9248
1998,98-18,3,3,0,0,3,0,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1998/98-18,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1998/98-18/98-18.zip,"SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB001XI; http://hdl.handle.net/10273/XXAB001XJ,BODD-2; PAR-12 WT; S437
1998,98-72,3,3,0,0,3,3,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1998/98-72,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1998/98-72/98-72.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB000FO; http://hdl.handle.net/10273/XXAB000FP; http://hdl.handle.net/10273/XXAB000FQ,9796 9212; 9796 9223; 9796 9248
1998,98-76,3,3,0,0,3,3,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1998/98-76,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1998/98-76/98-76.zip,"SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB000FU; http://hdl.handle.net/10273/XXAB000FW; http://hdl.handle.net/10273/XXAB000FX,9796 7150; 9796 9201; 9796 9249
1999,99-11,3,3,0,0,3,3,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-11,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-11/99-11.zip,"SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB000H8; http://hdl.handle.net/10273/XXAB000H9; http://hdl.handle.net/10273/XXAB000HA,E214; E229; E233
1999,99-34,3,3,0,0,3,3,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-34,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-34/99-34.zip,"SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB000IT; http://hdl.handle.net/10273/XXAB000IU; http://hdl.handle.net/10273/XXAB000IV,9996 7055; 9996 9066; 9996 9096
1999,99-58,3,3,0,0,3,3,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-58,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-58/99-58.zip,"SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB000K0; http://hdl.handle.net/10273/XXAB000K1; http://hdl.handle.net/10273/XXAB000K3,E225; E227; E314
1999,99-68,3,3,0,0,3,3,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-68,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-68/99-68.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB000KG; http://hdl.handle.net/10273/XXAB000KH; http://hdl.handle.net/10273/XXAB000KI,E313; E319; E322
1999,99-81,3,3,0,0,3,3,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-81,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1999/99-81/99-81.zip,"SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB000KU; http://hdl.handle.net/10273/XXAB000KW; http://hdl.handle.net/10273/XXAB000KX,AFA 901; AGC 834; AGC 845
2000,A-80,3,3,0,0,3,3,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2000/A-80,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/2000/A-80/A-80.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB000ON; http://hdl.handle.net/10273/XXAB000OP; http://hdl.handle.net/10273/XXAB000OQ,E353; E356; E357
1996,96-19,3,2,0,1,2,3,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-19,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-19/96-19.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB0006A; http://hdl.handle.net/10273/XXAB0006B; http://hdl.handle.net/10273/XXAB0006C,9305/010; CARB; MOND
1996,96-71,3,2,0,1,2,3,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-71,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-71/96-71.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB0008I; http://hdl.handle.net/10273/XXAB0008K; http://hdl.handle.net/10273/XXAB0008L,M95-028A; M95-028B; M95-556A
1997,97-02,3,2,0,1,2,3,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1997/97-02,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1997/97-02/97-02.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB0009K; http://hdl.handle.net/10273/XXAB0009L; http://hdl.handle.net/10273/XXAB0009M,KWA-1; MGS-1; SHD-9
1997,97-40,3,2,1,0,3,3,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1997/97-40,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1997/97-40/97-40.zip,"Notebook Sketch; SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB000BR; http://hdl.handle.net/10273/XXAB000BS; http://hdl.handle.net/10273/XXAB000BT,9796 9090; 9796 9125; 9796 9202
1994,94-07,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1994/94-07,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1994/94-07/94-07.zip,"SHRIMP Logsheet, Notebook Sketch",http://hdl.handle.net/10273/XXAB00005; http://hdl.handle.net/10273/XXAB00006,DUF SPIN; GOBBO'S
1994,94-24,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1994/94-24,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1994/94-24/94-24.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB0001D; http://hdl.handle.net/10273/XXAB0001E,19A-785; 32A-588.8
1995,95-01,2,2,0,0,0,0,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-01,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-01/95-01.zip,,http://hdl.handle.net/10273/XXAB001VX; http://hdl.handle.net/10273/XXAB001VY,JBS35; JBS44
1995,95-02,2,2,0,0,2,0,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-02,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-02/95-02.zip,Handwritten SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB001W0; http://hdl.handle.net/10273/XXAB001W1,JBS17; JBS44
1995,95-03,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-03,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-03/95-03.zip,Handwritten SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB00020; http://hdl.handle.net/10273/XXAB00021,JBS17; JBS35
1995,95-11,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-11,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-11/95-11.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB0002R; http://hdl.handle.net/10273/XXAB0002S,YQ1; YQ2
1995,95-41,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-41,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-41/95-41.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB0004Y; http://hdl.handle.net/10273/XXAB0004Z,72263; 94003
1995,95-42,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-42,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1995/95-42/95-42.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB00052; http://hdl.handle.net/10273/XXAB00053,VOM 95 061B; VOM 95 327
1996,96-01,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-01,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-01/96-01.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB00055; http://hdl.handle.net/10273/XXAB00056,144329; 495588Z
1996,96-02,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-02,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-02/96-02.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB00059; http://hdl.handle.net/10273/XXAB0005A,VOM 432634; VOM 95-061A
1996,96-05,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-05,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-05/96-05.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB0005H; http://hdl.handle.net/10273/XXAB0005I,W17; WW12
1996,96-12,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-12,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-12/96-12.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB00060; http://hdl.handle.net/10273/XXAB00061,YQ17; YQ38
1996,96-13,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-13,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-13/96-13.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB00064; http://hdl.handle.net/10273/XXAB00065,EQ65; QFP1
1996,96-20,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-20,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-20/96-20.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB0006E; http://hdl.handle.net/10273/XXAB0006F,95YQ-NW; 95YQ120
1996,96-21,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-21,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-21/96-21.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB0006H; http://hdl.handle.net/10273/XXAB0006I,BOOB; CU HILLS
1996,96-25,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-25,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-25/96-25.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB0006V; http://hdl.handle.net/10273/XXAB0006W,95YQ104; 95YQ87
1996,96-29,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-29,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-29/96-29.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB0006Y; http://hdl.handle.net/10273/XXAB0006Z,VOM 95-031; VOM 95-078
1996,96-53,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-53,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-53/96-53.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB00081; http://hdl.handle.net/10273/XXAB00082,K1; K4
1996,96-72,2,2,0,0,2,2,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-72,http://ddfe.curtin.edu.au/gswa-library/mcnaughton/data/1996/96-72/96-72.zip,SHRIMP Logsheet,http://hdl.handle.net/10273/XXAB0008N; http://hdl.handle.net/10273/XXAB0008O,P2; R2
