sample_id,priority_for_spot_retrieval,documents_flag_in_legacy_csv,available_flag_in_legacy_csv,has_igsn_link,igsn_links,mount_ids,doc_types,recommended_refs
#57 SKARN,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000IZ; http://hdl.handle.net/10273/XXAB000J6; http://hdl.handle.net/10273/XXAB000JS,99-36; 99-42; 99-50,"Notebook Sketch; SHRIMP Logsheet; SHRIMP Logsheet, Notebook Sketch","R. Edgecombe, 1999 - The Late Proterozoic O'Callaghans Granite and associated tungsten skarn (Telfer District, Western Australia) - UWA Honours thesis"
113982,LOW,N,N,Y,http://hdl.handle.net/10273/XXAB001VT,94-31,,
144329,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB00056,96-01,SHRIMP Logsheet,"P - Ross et al., 2004 - Precambrian Research - https://doi.org/10.1016/j.precamres.2003.08.013"
1443292,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0003M,95-21,,"A Ross, 2002 - Genesis of the Kanowna Belle gold deposit, Kalgoorlie, Western Australia - UWA PhD Thesis"
173/40-41,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0000M,94-12,,"P - Vielreicher and McNaughton, 2002 - International Journal of Earth Sciences - DOI 10.1007/s00531-001-0233-z, T - McMillan, 1996 - UWA PhD Thesis"
17580N,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB000TJ; http://hdl.handle.net/10273/XXAB00222,B-67; B-71,,"Baggott et al., 2005 - Economic Geology - https://doi.org/10.2113/gsecongeo.100.7.1389"
17580N 1,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB000SY,B-50,,"Baggott et al., 2005 - Economic Geology - https://doi.org/10.2113/gsecongeo.100.7.1389"
17580N 2,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB000SZ,B-50,,"Baggott et al., 2005 - Economic Geology - https://doi.org/10.2113/gsecongeo.100.7.1389"
17580N MAG III,LOW,N,N,Y,http://hdl.handle.net/10273/XXAB00221,B-67,,"Baggott et al., 2005 - Economic Geology - https://doi.org/10.2113/gsecongeo.100.7.1389"
19A-785,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0001E,94-24,SHRIMP Logsheet,"Mueller and McNaughton, 2018 - Mineralium Deposita - doi: 10.1007/s00126-017-0722-z"
236,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0000T,94-14,,"H Dalstra, 1995 - Metamorphic and structural evolution of greenstone belts of the southern cross-diemas region of the Yilgarn block, Western Australia, and its relationship to gold mineralisation - UWA PhD Thesis"
239,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0000V,94-15,,"H Dalstra, 1995 - Metamorphic and structural evolution of greenstone belts of the southern cross-diemas region of the Yilgarn block, Western Australia, and its relationship to gold mineralisation - UWA PhD Thesis"
294826/6,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB000CZ,98-08,,"P - Hall, 2005 - Australian Journal of Earth Sciences - https://doi.org/10.1080/08120090500134506, T - C Hall 2002, - Sedimentary, geochemistry and palaeogeography of the Lower Fortescue Group, Hamersley Province, Western Australia - UWA PhD Thesis"
32A-1377,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB00031,95-13,SHRIMP Logsheet,"Mueller and McNaughton, 2018 - Mineralium Deposita - doi: 10.1007/s00126-017-0722-z"
32A-588,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB00030,95-13,SHRIMP Logsheet,"Mueller and McNaughton, 2018 - Mineralium Deposita - doi: 10.1007/s00126-017-0722-z"
32A-588.8,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0001D,94-24,SHRIMP Logsheet,"Mueller and McNaughton, 2018 - Mineralium Deposita - doi: 10.1007/s00126-017-0722-z"
32A-603,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0002Y; http://hdl.handle.net/10273/XXAB0003B,95-12; 95-14,"SHRIMP Logsheet, Notebook Sketch","Mueller and McNaughton, 2018 - Mineralium Deposita - doi: 10.1007/s00126-017-0722-z; Mueller et al., 1996 - Economic Geology - https://doi.org/10.2113/gsecongeo.91.5.896"
32A-603.7,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB00032,95-13,SHRIMP Logsheet,"Mueller and McNaughton, 2018 - Mineralium Deposita - doi: 10.1007/s00126-017-0722-z"
396390,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001SB,17-22,,
396391,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001SI; http://hdl.handle.net/10273/XXAB001SV,17-23; 17-31,,
396392,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001SC; http://hdl.handle.net/10273/XXAB001ST,17-22; 17-30,,
396393,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001SD,17-22,,
396394,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001SE,17-22,,
396395,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001SG,17-23,,
396396,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001SJ; http://hdl.handle.net/10273/XXAB001SL,17-23; 17-24,,
396397,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001SH,17-23,,
397587C,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0003N,95-21,SHRIMP Logsheet,"A Ross, 2002 - Genesis of the Kanowna Belle gold deposit, Kalgoorlie, Western Australia - UWA PhD Thesis"
397587Z,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB00044,95-30,SHRIMP Logsheet,"A Ross, 2002 - Genesis of the Kanowna Belle gold deposit, Kalgoorlie, Western Australia - UWA PhD Thesis"
3CBS,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001HI,05-20,,"Krapez et al., 2017 - Precambrian Research - http://dx.doi.org/10.1016/j.precamres.2017.03.020"
429121Z COARSE,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB00045,95-30,SHRIMP Logsheet,"P - Ross et al., 2004 - Precambrian Research - https://doi.org/10.1016/j.precamres.2003.08.013"
429121Z FINE,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB00046,95-30,SHRIMP Logsheet,"P - Ross et al., 2004 - Precambrian Research - https://doi.org/10.1016/j.precamres.2003.08.013"
495588Z,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB00055,96-01,SHRIMP Logsheet,"P - Ross et al., 2004 - Precambrian Research - https://doi.org/10.1016/j.precamres.2003.08.013"
60109986,LOW,N,N,N,,16-21; 16-22,,
60925,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0001Q,94-28,SHRIMP Logsheet,"Buick et al., 2002 - Precambrian Research - https://doi.org/10.1016/S0301-9268(01)00221-2"
65024000,LOW,N,N,N,,16-24,,
70650,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0001O,94-27,SHRIMP Logsheet,"Buick et al., 2002 - Precambrian Research - https://doi.org/10.1016/S0301-9268(01)00221-2"
70727,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0002X,95-12,"SHRIMP Logsheet, Notebook Sketch","Buick et al., 2002 - Precambrian Research - https://doi.org/10.1016/S0301-9268(01)00221-2"
72263,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0004Z,95-41,SHRIMP Logsheet,"Buick et al., 2002 - Precambrian Research - https://doi.org/10.1016/S0301-9268(01)00221-2"
78,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001TY,18-15,,"V Barrote, 2019 Curtin PhD Thesis"
79/16,HIGH,Y,N,Y,http://hdl.handle.net/10273/XXAB001X6; http://hdl.handle.net/10273/XXAB001X8,96-66; 96-67,SHRIMP Logsheet,"J. Mikucki, 1997 - Contrasting fluid sources and mineralization styles in the Great Eastern Archaean lode-gold deposit, Lawlers, Western Australia - UWA Phd Thesis"
8400-5/60-65,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0000P,94-12,,"P - Vielreicher and McNaughton, 2002 - International Journal of Earth Sciences - DOI 10.1007/s00531-001-0233-z, T - McMillan, 1996 - UWA PhD Thesis"
9305/010,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0006C,96-19,,"S Wetherley, 2000 - Tectonometamorphic evolution of the Mount Barren Group, Albany-Fraser Province, Western Australia - UWA PhD Thesis"
9306/026,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0004I,95-36,,"S Wetherley, 2000 - Tectonometamorphic evolution of the Mount Barren Group, Albany-Fraser Province, Western Australia - UWA PhD Thesis"
9306/032,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0004J,95-36,SHRIMP Logsheet,"S Wetherley, 2000 - Tectonometamorphic evolution of the Mount Barren Group, Albany-Fraser Province, Western Australia - UWA PhD Thesis"
94003,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0004Y,95-41,SHRIMP Logsheet,"Buick et al., 2002 - Precambrian Research - https://doi.org/10.1016/S0301-9268(01)00221-2"
95YQ-GF,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0004W,95-40,,"Qiu et al. 1997, Chronique De La Recherche Miniere - see thesis ,Qiu 1997, Long-lived granitoid magmatism in the Southern Cross Province, Yilgarn Craton, Western Australia, and its relationships with Archaean lode-gold mineralization: UWA PhD Thesis"
95YQ-NW,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0006E,96-20,SHRIMP Logsheet,"P - Qiu et al., 1999 - Australian Journal of Earth Sciences - DOI: 10.1046/j.1440-0952.1999.00758.x, T - Qiu, 1997 - UWA PhD Thesis"
95YQ100,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000B1,97-24,SHRIMP Logsheet,"P - Qiu et al., 1999 - Australian Journal of Earth Science - https://doi.org/10.1046/j.1440-0952.1999.00715.x, T - Qiu, 1997 - UWA PhD Thesis"
95YQ104,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0006V,96-25,SHRIMP Logsheet,"Y Qiu, 1997 - Long-lived granitoid magmatism in the Southern Cross Province, Yilgarn Craton, Western Australia, and its relationships with Archaean lode-gold mineralization - UWA PhD Thesis"
