dataset,geochron_sample_id,lat,lon,nearest_distance_deg,nearest_distance_m_approx,matched_gswa_ims_by_coord,matched_ga_ims_by_coord
GSWA Geochronology,169091,-23.38963600,115.53034100,0.00055858,62.0,Y,N
GSWA Geochronology,178028,-23.80210600,115.87859000,0.00041024,45.5,Y,N
GSWA Geochronology,222656,-29.42750700,121.10124900,0.00003701,4.1,Y,N
GSWA Geochronology,246756,-21.47815300,121.78244200,0.00001720,1.9,Y,N
McNaughton Legacy SHRIMP,142870 (COARSE),-20.81298646,120.56800960,0.00072743,80.7,Y,N
McNaughton Legacy SHRIMP,142870 (FINE),-20.81298646,120.56800960,0.00072743,80.7,Y,N
McNaughton Legacy SHRIMP,142870 (HM),-20.81298646,120.56800960,0.00072743,80.7,Y,N
McNaughton Legacy SHRIMP,BF6,-30.63188662,121.26151013,0.00034814,38.6,Y,N
McNaughton Legacy SHRIMP,JUNE HILLS VOLC.,-22.47778455,116.26357184,0.00023942,26.6,Y,N
McNaughton Legacy SHRIMP,SIBERIA GR,-30.22798718,120.92101062,0.00033647,37.3,Y,N
