dataset,geochron_sample_id,fuzzy_key,matched_in_gswa_ims,matched_in_ga_ims,candidate_count,candidate_examples
McNaughton Legacy SHRIMP,9796 9034,97969034,N,Y,1,97969034
McNaughton Legacy SHRIMP,9796 9063,97969063,N,Y,1,97969063
McNaughton Legacy SHRIMP,9796 9104,97969104,N,Y,1,97969104
McNaughton Legacy SHRIMP,9796 9138,97969138,N,Y,1,97969138
McNaughton Legacy SHRIMP,9896 7008,98967008,N,Y,1,98967008
McNaughton Legacy SHRIMP,9896 8104,98968104,N,Y,1,98968104
McNaughton Legacy SHRIMP,9896 9025,98969025,N,Y,1,98969025
McNaughton Legacy SHRIMP,9896 9033,98969033,N,Y,1,98969033
McNaughton Legacy SHRIMP,9896 9042,98969042,N,Y,1,98969042
McNaughton Legacy SHRIMP,9896 9044,98969044,N,Y,1,98969044
McNaughton Legacy SHRIMP,9896 9055,98969055,N,Y,1,98969055
McNaughton Legacy SHRIMP,9996 7114,99967114,N,Y,1,99967114
McNaughton Legacy SHRIMP,9996 7141,99967141,N,Y,1,99967141
