dataset,missing_sample_id,reason
GA Geochronology,2005670080,No IMS point within tolerance
GA Geochronology,2233,No IMS point within tolerance
GA Geochronology,87010001,No IMS point within tolerance
GA Geochronology,87010002,No IMS point within tolerance
GA Geochronology,87010002A,No IMS point within tolerance
GA Geochronology,87010008,No IMS point within tolerance
GA Geochronology,87010009,No IMS point within tolerance
GA Geochronology,87010010,No IMS point within tolerance
GA Geochronology,MN26,No IMS point within tolerance
GA Geochronology,MN38,No IMS point within tolerance
GA Geochronology,MN45,No IMS point within tolerance
GA Geochronology,W1,No IMS point within tolerance
GA Geochronology,W116,No IMS point within tolerance
GA Geochronology,W139,No IMS point within tolerance
GA Geochronology,W140,No IMS point within tolerance
GA Geochronology,W141,No IMS point within tolerance
GA Geochronology,W165,No IMS point within tolerance
GA Geochronology,W168,No IMS point within tolerance
GA Geochronology,W193,No IMS point within tolerance
GA Geochronology,W2,No IMS point within tolerance
GA Geochronology,W50,No IMS point within tolerance
GA Geochronology,W56,No IMS point within tolerance
GA Geochronology,W58,No IMS point within tolerance
GA Geochronology,W6,No IMS point within tolerance
GA Geochronology,W7,No IMS point within tolerance
GA Geochronology,W78,No IMS point within tolerance
GA Geochronology,W8,No IMS point within tolerance
GA Geochronology,W81,No IMS point within tolerance
GA Geochronology,W83,No IMS point within tolerance
GA Geochronology,W90,No IMS point within tolerance
GA Geochronology,W98,No IMS point within tolerance
GSWA Geochronology,112101,No IMS point within tolerance
GSWA Geochronology,112112,No IMS point within tolerance
GSWA Geochronology,112159,No IMS point within tolerance
GSWA Geochronology,112170,No IMS point within tolerance
GSWA Geochronology,118990,No IMS point within tolerance
GSWA Geochronology,133384,No IMS point within tolerance
GSWA Geochronology,142832,No IMS point within tolerance
GSWA Geochronology,142933,No IMS point within tolerance
GSWA Geochronology,142984,No IMS point within tolerance
GSWA Geochronology,165365,No IMS point within tolerance
GSWA Geochronology,168973,No IMS point within tolerance
GSWA Geochronology,168983,No IMS point within tolerance
GSWA Geochronology,171773,No IMS point within tolerance
GSWA Geochronology,177915,No IMS point within tolerance
GSWA Geochronology,177916,No IMS point within tolerance
GSWA Geochronology,178010,No IMS point within tolerance
GSWA Geochronology,178026,No IMS point within tolerance
GSWA Geochronology,178037,No IMS point within tolerance
GSWA Geochronology,178052,No IMS point within tolerance
GSWA Geochronology,178054,No IMS point within tolerance
GSWA Geochronology,178057,No IMS point within tolerance
GSWA Geochronology,178058,No IMS point within tolerance
GSWA Geochronology,178059,No IMS point within tolerance
GSWA Geochronology,178060,No IMS point within tolerance
GSWA Geochronology,178062,No IMS point within tolerance
GSWA Geochronology,178064,No IMS point within tolerance
GSWA Geochronology,178065,No IMS point within tolerance
GSWA Geochronology,178066,No IMS point within tolerance
GSWA Geochronology,178067,No IMS point within tolerance
GSWA Geochronology,181127,No IMS point within tolerance
GSWA Geochronology,185997,No IMS point within tolerance
GSWA Geochronology,194754,No IMS point within tolerance
GSWA Geochronology,195830,No IMS point within tolerance
