dataset,missing_sample_id,priority,latitude,longitude,analysis_type_hint,site_or_geochronid_hint,originator_hint,reference_hint,nearest_ims_sample_id,nearest_ims_sources,nearest_ims_distance_m,alias_candidate_count,alias_candidate_examples,recommended_next_step
GA Geochronology,W90,MEDIUM,-28.76288252,116.95144744,U-PB,W90,"PIDGEON, R.",,203704,GSWA IMS spots,1460.8,0,,Check nearby IMS samples and reference docs for same site/project.
GA Geochronology,MN38,MEDIUM,-26.53344695,116.36809151,207PB/206PB,1471480,"KINNY, P.",,198644,GSWA IMS spots,1972.5,0,,Check nearby IMS samples and reference docs for same site/project.
GA Geochronology,W8,LOW,-30.89740851,116.63477945,U-PB,W8,"PIDGEON, R.",,205933,GSWA IMS spots,2654.6,0,,Likely absent from current IMS exports; search source report/lab archive.
GA Geochronology,2005670080,LOW,-22.61059630,122.09547958,207PB/206PB,1694722,,THIRTY-TWO ANALYSES WERE MADE OF ZIRCON CORES. TWO OF THESE (7.1 AND 18.1) ARE >10% DISCORDANT AND ARE NOT CONSIDERED FURTHER. TWENTY-THREE ANALYSES WERE MADE OF THE MAIN POPULA...,112102,GSWA IMS spots,2843.6,0,,Likely absent from current IMS exports; search source report/lab archive.
GA Geochronology,2233,LOW,-31.21386953,121.68372051,U-PB,KD14,CSIRO-YILGARN DATA,,230328,GSWA IMS spots,3191.6,0,,Likely absent from current IMS exports; search source report/lab archive.
GA Geochronology,W2,LOW,-30.88160852,116.63527848,U-PB,W2,"PIDGEON, R.",6-JUL-94,205933,GSWA IMS spots,4241.5,0,,Likely absent from current IMS exports; search source report/lab archive.
GA Geochronology,W7,LOW,-30.94630851,116.68537952,U-PB,W7,"PIDGEON, R.",,205933,GSWA IMS spots,4685.1,0,,Likely absent from current IMS exports; search source report/lab archive.
GA Geochronology,W58,LOW,-30.59605875,121.71811966,U-PB,W58,"PIDGEON, R.",,100710,GSWA IMS spots,4763.6,0,,Likely absent from current IMS exports; search source report/lab archive.
GA Geochronology,MN26,LOW,-26.45010696,116.40281132,207PB/206PB,1471479,"KINNY, P.",,198654,GSWA IMS spots,5651.4,0,,Likely absent from current IMS exports; search source report/lab archive.
GA Geochronology,W50,LOW,-27.20892669,117.86503424,U-PB,W50,"PIDGEON, R.",,183975,GSWA IMS spots,6211.8,0,,Likely absent from current IMS exports; search source report/lab archive.
GA Geochronology,W56,LOW,-27.20892669,117.86503424,U-PB,W56,"PIDGEON, R.",6-JUL-94,183975,GSWA IMS spots,6211.8,0,,Likely absent from current IMS exports; search source report/lab archive.
GA Geochronology,W168,LOW,-30.96277425,121.25146131,U-PB,W168,"PIDGEON, R.",,182299,GSWA IMS spots,6304.3,0,,Likely absent from current IMS exports; search source report/lab archive.
